"","gene_id","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","start","stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"3653","Acerv_evm.TU.Segkk2676_pilon.1",1084,0,2260,2004,645,1214,641,1052,2208,3189,679,439,424,1232,377,"Segkk2676_pilon",276,11589,11313,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3655","Acerv_evm.TU.Segkk2679_pilon.1",31,0,91,84,38,38,34,19,82,77,14,23,10,41,22,"Segkk2679_pilon",66,3076,3010,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3663","Acerv_evm.TU.Segkk2684_pilon.2",2020,0,5621,4315,1759,1987,2116,3223,3361,3692,1001,1053,972,3728,1252,"Segkk2684_pilon",10388,23968,13580,"GO:0016831",0.015846065214068,0.99990710472357,1,4,"carboxy-lyase activity","MF"
"3664","Acerv_evm.TU.Segkk2684_pilon.2",2020,0,5621,4315,1759,1987,2116,3223,3361,3692,1001,1053,972,3728,1252,"Segkk2684_pilon",10388,23968,13580,"GO:0019752",0.0213984456604476,0.999818939773616,1,5,"carboxylic acid metabolic process","BP"
"3672","Acerv_evm.TU.Segkk2689_pilon.4",64,0,33,55,35,72,23,42,16,20,20,32,26,52,12,"Segkk2689_pilon",27350,30624,3274,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3680","Acerv_evm.TU.Segkk2692_pilon.1",35,3,131,30,43,102,19,16,57,168,8,7,20,115,13,"Segkk2692_pilon",4108,12966,8858,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3684","Acerv_evm.TU.Segkk2694_pilon.4",324,0,771,513,287,442,164,234,390,568,122,132,177,417,80,"Segkk2694_pilon",30867,43939,13072,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3685","Acerv_evm.TU.Segkk2695_pilon.1",30,0,45,45,20,32,19,31,43,51,13,20,16,30,0,"Segkk2695_pilon",365,1096,731,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3690","Acerv_evm.TU.Segkk27_pilon.1",389,15,775,766,250,453,278,356,759,926,304,291,209,397,174,"Segkk27_pilon",2832,12221,9389,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3694","Acerv_evm.TU.Segkk27_pilon.9",217,0,411,287,128,211,140,91,273,214,55,161,71,178,84,"Segkk27_pilon",56098,64260,8162,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3710","Acerv_evm.TU.Segkk2715_pilon.1",410,0,681,742,262,405,216,419,975,1103,235,327,212,482,210,"Segkk2715_pilon",8204,19487,11283,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3717","Acerv_evm.TU.Segkk2716_pilon.17",32,0,43,72,24,52,21,44,93,108,32,14,19,24,13,"Segkk2716_pilon",272968,278081,5113,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3721","Acerv_evm.TU.Segkk2716_pilon.5",930,0,1465,1798,583,1444,551,350,258,293,114,597,601,1144,270,"Segkk2716_pilon",70418,96700,26282,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3722","Acerv_evm.TU.Segkk2716_pilon.6",682,0,1308,1187,478,809,424,211,181,221,39,501,345,823,244,"Segkk2716_pilon",105675,121808,16133,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3723","Acerv_evm.TU.Segkk2716_pilon.7",655,1,1339,1132,418,793,346,249,476,663,151,361,301,686,185,"Segkk2716_pilon",127636,142119,14483,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3732","Acerv_evm.TU.Segkk2722_pilon.22",398,0,860,766,288,497,313,362,669,915,226,351,185,523,173,"Segkk2722_pilon",216029,224595,8566,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3748","Acerv_evm.TU.Segkk2723_pilon.7",272,28,596,557,220,331,233,293,578,860,196,235,150,367,153,"Segkk2723_pilon",65795,74122,8327,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3749","Acerv_evm.TU.Segkk2723_pilon.8",29,2,49,57,24,38,19,21,42,33,10,16,21,48,9,"Segkk2723_pilon",82358,85788,3430,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3753","Acerv_evm.TU.Segkk2725_pilon.8",37,1,14,35,26,52,23,42,11,19,26,37,28,62,9,"Segkk2725_pilon",84647,87955,3308,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3757","Acerv_evm.TU.Segkk2731_pilon.1",190,0,610,435,223,347,131,351,822,1182,274,122,108,300,56,"Segkk2731_pilon",549,6644,6095,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3763","Acerv_evm.TU.Segkk2737_pilon.19",480,0,803,727,300,479,311,307,747,817,245,332,213,476,188,"Segkk2737_pilon",180343,205978,25635,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3771","Acerv_evm.TU.Segkk2740_pilon.1",27,0,49,32,17,26,18,15,37,44,9,9,14,28,7,"Segkk2740_pilon",1432,6477,5045,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3774","Acerv_evm.TU.Segkk2741_pilon.13",146,0,324,217,92,199,74,86,204,283,60,57,62,153,32,"Segkk2741_pilon",151838,167088,15250,"GO:0004190",0.0377620954367538,0.999379666947881,1,8,"aspartic-type endopeptidase activity","MF"
"3778","Acerv_evm.TU.Segkk2748_pilon.2",24,0,55,49,17,26,24,20,42,45,17,29,15,26,12,"Segkk2748_pilon",3009,4874,1865,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3779","Acerv_evm.TU.Segkk2748_pilon.4",1088,14,3182,1359,732,1476,874,801,3868,6235,667,603,459,2917,537,"Segkk2748_pilon",32169,63798,31629,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3799","Acerv_evm.TU.Segkk2754_pilon.23",152,0,268,310,94,153,116,141,355,437,108,130,53,164,68,"Segkk2754_pilon",233170,239014,5844,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3809","Acerv_evm.TU.Segkk2758_pilon.24",33,0,88,79,27,42,22,33,105,66,19,24,8,26,19,"Segkk2758_pilon",291219,293590,2371,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3821","Acerv_evm.TU.Segkk2759_pilon.10",95,0,150,172,63,114,52,58,174,205,67,56,37,84,37,"Segkk2759_pilon",56798,60213,3415,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3826","Acerv_evm.TU.Segkk2759_pilon.23",311,0,690,564,232,418,204,256,577,747,124,148,162,384,123,"Segkk2759_pilon",133794,139745,5951,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3831","Acerv_evm.TU.Segkk2759_pilon.6",236,0,355,437,136,245,150,176,522,529,131,164,110,242,89,"Segkk2759_pilon",33703,36118,2415,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3839","Acerv_evm.TU.Segkk2760_pilon.5",935,0,1851,2085,768,1451,690,905,2321,2632,618,979,502,1326,421,"Segkk2760_pilon",69174,97518,28344,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3858","Acerv_evm.TU.Segkk2764_pilon.15",621,15,1446,1131,409,810,337,337,709,1031,216,400,275,773,206,"Segkk2764_pilon",106697,132324,25627,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3870","Acerv_evm.TU.Segkk2779_pilon.11",832,0,2571,1930,734,1118,658,586,1528,2271,474,841,385,1428,439,"Segkk2779_pilon",134454,140440,5986,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3871","Acerv_evm.TU.Segkk2779_pilon.12",266,0,551,589,304,428,164,276,490,524,186,82,189,315,93,"Segkk2779_pilon",144098,147341,3243,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3881","Acerv_evm.TU.Segkk2782_pilon.20",118,0,214,194,102,141,80,88,165,193,52,75,71,166,49,"Segkk2782_pilon",281720,297463,15743,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3887","Acerv_evm.TU.Segkk2782_pilon.28",57,0,98,88,59,60,39,53,76,93,36,46,33,63,16,"Segkk2782_pilon",372765,378301,5536,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3904","Acerv_evm.TU.Segkk2787_pilon.1",86,0,156,82,44,78,34,38,59,127,23,16,29,40,0,"Segkk2787_pilon",779,8179,7400,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3906","Acerv_evm.TU.Segkk2787_pilon.15",373,15,745,657,270,517,259,331,570,814,203,207,232,431,118,"Segkk2787_pilon",146141,168101,21960,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3908","Acerv_evm.TU.Segkk2787_pilon.17",547,0,1031,840,378,703,353,386,740,1157,239,209,223,686,152,"Segkk2787_pilon",176933,182344,5411,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3914","Acerv_evm.TU.Segkk2788_pilon.2",613,27,1460,1031,565,1036,383,433,693,1231,278,229,416,901,219,"Segkk2788_pilon",7348,18273,10925,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3915","Acerv_evm.TU.Segkk2788_pilon.3",191,0,316,228,147,294,118,146,167,368,88,110,84,272,62,"Segkk2788_pilon",18467,33608,15141,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3916","Acerv_evm.TU.Segkk2788_pilon.4",302,22,327,403,259,392,155,78,79,157,43,43,179,258,66,"Segkk2788_pilon",38990,66335,27345,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3921","Acerv_evm.TU.Segkk2792_pilon.23",131,0,253,248,90,150,85,92,277,295,58,76,59,147,63,"Segkk2792_pilon",199473,208657,9184,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3937","Acerv_evm.TU.Segkk2795_pilon.8",92,0,102,126,43,88,45,76,145,152,43,42,44,73,24,"Segkk2795_pilon",77683,81823,4140,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"3938","Acerv_evm.TU.Segkk2795_pilon.9",37,0,36,52,12,17,11,24,47,55,17,15,11,22,10,"Segkk2795_pilon",82149,82541,392,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4212","Acerv_evm.TU.Segkk29_pilon.9",66,8,156,228,61,124,53,91,187,201,70,33,27,70,34,"Segkk29_pilon",73826,74881,1055,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4387","Acerv_evm.TU.Segkk30_pilon.15",17,1,36,31,16,16,26,19,34,42,14,23,15,30,18,"Segkk30_pilon",84504,85106,602,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4395","Acerv_evm.TU.Segkk3005_pilon.1",114,0,240,228,97,138,74,60,141,201,41,90,51,127,42,"Segkk3005_pilon",3737,12628,8891,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4396","Acerv_evm.TU.Segkk3006_pilon.4",221,0,428,382,181,314,126,132,278,411,93,104,117,253,63,"Segkk3006_pilon",13985,29515,15530,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4397","Acerv_evm.TU.Segkk3006_pilon.5",70,4,114,137,58,116,30,28,74,124,28,28,29,70,15,"Segkk3006_pilon",32258,37903,5645,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4398","Acerv_evm.TU.Segkk3006_pilon.6",153,0,280,352,110,188,91,102,319,386,101,95,79,149,43,"Segkk3006_pilon",38210,45553,7343,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4399","Acerv_evm.TU.Segkk3006_pilon.7",75,0,105,86,51,71,22,20,67,132,21,19,29,56,13,"Segkk3006_pilon",48221,52794,4573,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4400","Acerv_evm.TU.Segkk3006_pilon.8",378,0,669,800,233,444,268,302,637,773,208,328,161,372,153,"Segkk3006_pilon",52839,95077,42238,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4401","Acerv_evm.TU.Segkk3006_pilon.9",224,0,301,433,191,295,139,91,163,240,64,131,113,193,66,"Segkk3006_pilon",97698,107055,9357,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4408","Acerv_evm.TU.Segkk3009_pilon.5",572,0,1079,1100,399,756,396,457,934,1282,323,307,286,651,207,"Segkk3009_pilon",36860,54831,17971,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4416","Acerv_evm.TU.Segkk3010_pilon.4",35,0,39,45,29,55,24,26,26,52,24,34,28,48,19,"Segkk3010_pilon",10727,18703,7976,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4418","Acerv_evm.TU.Segkk3018_pilon.1",150,0,209,180,76,172,73,80,119,159,41,55,75,139,29,"Segkk3018_pilon",702,15591,14889,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4420","Acerv_evm.TU.Segkk3018_pilon.2",100,0,325,120,73,108,84,26,132,111,31,58,51,120,39,"Segkk3018_pilon",17989,35575,17586,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4433","Acerv_evm.TU.Segkk3022_pilon.2",160,0,288,211,101,156,94,63,190,235,55,60,62,153,38,"Segkk3022_pilon",5805,21751,15946,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4441","Acerv_evm.TU.Segkk3028_pilon.19",619,0,1239,1154,360,572,369,370,1093,1269,269,480,204,596,212,"Segkk3028_pilon",189536,199459,9923,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4448","Acerv_evm.TU.Segkk3029_pilon.1",49,0,136,94,44,68,40,63,55,113,37,37,33,80,24,"Segkk3029_pilon",287,5098,4811,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4449","Acerv_evm.TU.Segkk3029_pilon.12",535,7,592,785,309,766,218,159,330,464,68,259,269,400,105,"Segkk3029_pilon",180023,207553,27530,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4468","Acerv_evm.TU.Segkk3047_pilon.25",118,0,227,276,94,136,75,90,169,253,54,65,81,169,55,"Segkk3047_pilon",241789,254818,13029,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4469","Acerv_evm.TU.Segkk3047_pilon.26",28,0,20,35,18,32,14,13,16,55,10,9,13,29,7,"Segkk3047_pilon",257067,257930,863,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4480","Acerv_evm.TU.Segkk3047_pilon.40",60,1,95,125,28,49,39,33,104,109,31,46,18,51,29,"Segkk3047_pilon",508825,509853,1028,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4492","Acerv_evm.TU.Segkk3053_pilon.11",818,0,1532,1355,600,1049,487,541,1148,1869,429,522,486,1076,308,"Segkk3053_pilon",144029,174968,30939,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4504","Acerv_evm.TU.Segkk3056_pilon.12",62,0,100,98,44,73,32,44,122,132,28,27,36,61,29,"Segkk3056_pilon",109836,111397,1561,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4521","Acerv_evm.TU.Segkk3061_pilon.5",36,2,84,39,18,33,15,17,45,76,15,18,9,50,12,"Segkk3061_pilon",15148,18481,3333,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4524","Acerv_evm.TU.Segkk3063_pilon.1",89,0,115,206,68,131,48,33,78,115,27,43,38,104,29,"Segkk3063_pilon",7611,9761,2150,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4527","Acerv_evm.TU.Segkk3063_pilon.2",189,0,358,361,109,175,115,126,391,558,104,109,72,167,60,"Segkk3063_pilon",13585,15396,1811,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4528","Acerv_evm.TU.Segkk3063_pilon.4",104,39,207,131,93,184,61,34,41,86,13,30,79,164,0,"Segkk3063_pilon",28204,51283,23079,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4533","Acerv_evm.TU.Segkk3064_pilon.2",23,0,45,38,18,22,14,18,35,41,12,9,12,29,0,"Segkk3064_pilon",6190,8754,2564,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4546","Acerv_evm.TU.Segkk3077_pilon.10",48,0,73,61,34,49,42,42,49,91,32,42,24,60,21,"Segkk3077_pilon",173341,175001,1660,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4548","Acerv_evm.TU.Segkk3077_pilon.7",1667,0,3385,3612,1975,3235,1041,1017,1823,2391,806,831,1157,2220,527,"Segkk3077_pilon",133374,163220,29846,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4551","Acerv_evm.TU.Segkk3079_pilon.1",169,0,154,242,105,184,50,62,51,52,36,81,78,139,22,"Segkk3079_pilon",477,3756,3279,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4556","Acerv_evm.TU.Segkk3082_pilon.3",476,50,1050,798,256,607,205,291,1116,1050,351,202,198,485,154,"Segkk3082_pilon",29384,32880,3496,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4562","Acerv_evm.TU.Segkk3086_pilon.1",152,6,295,248,74,171,83,97,162,246,53,54,62,142,42,"Segkk3086_pilon",881,9969,9088,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4563","Acerv_evm.TU.Segkk3086_pilon.4",203,0,417,305,136,243,121,185,476,618,143,96,80,204,67,"Segkk3086_pilon",46373,60176,13803,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4564","Acerv_evm.TU.Segkk3086_pilon.5",86,0,158,147,58,116,54,112,234,255,68,62,55,97,42,"Segkk3086_pilon",60453,66657,6204,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4565","Acerv_evm.TU.Segkk3087_pilon.2",50,0,10,15,33,65,39,38,6,15,31,27,24,62,12,"Segkk3087_pilon",17242,21852,4610,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4589","Acerv_evm.TU.Segkk3093_pilon.11",515,0,1228,1168,402,687,411,423,1061,1381,341,477,299,674,261,"Segkk3093_pilon",165774,189861,24087,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4591","Acerv_evm.TU.Segkk3093_pilon.15",67,0,93,99,37,75,36,56,126,155,42,50,31,69,32,"Segkk3093_pilon",245746,260414,14668,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4593","Acerv_evm.TU.Segkk3093_pilon.17",79,2,54,123,78,127,40,45,66,87,37,25,61,88,20,"Segkk3093_pilon",273775,275718,1943,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4609","Acerv_evm.TU.Segkk3096_pilon.6",15,0,8,14,11,21,10,15,9,10,8,16,4,16,7,"Segkk3096_pilon",52997,55654,2657,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4610","Acerv_evm.TU.Segkk3096_pilon.7",25,0,9,16,11,19,13,17,8,3,8,21,11,15,9,"Segkk3096_pilon",55770,57785,2015,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4631","Acerv_evm.TU.Segkk3100_pilon.10",23,0,66,45,20,32,22,18,50,55,18,31,11,23,15,"Segkk3100_pilon",133198,143195,9997,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4639","Acerv_evm.TU.Segkk3102_pilon.20",115,0,224,299,90,150,92,99,267,379,92,87,87,148,71,"Segkk3102_pilon",239337,246171,6834,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4663","Acerv_evm.TU.Segkk3107_pilon.5",95,0,181,158,94,153,73,129,203,308,93,64,50,167,38,"Segkk3107_pilon",27474,31433,3959,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4673","Acerv_evm.TU.Segkk3112_pilon.42",446,0,732,702,256,538,260,297,727,889,253,296,201,465,151,"Segkk3112_pilon",361365,378845,17480,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4674","Acerv_evm.TU.Segkk3112_pilon.43",304,0,643,538,162,306,151,181,515,691,154,188,105,296,112,"Segkk3112_pilon",381981,392102,10121,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4687","Acerv_evm.TU.Segkk3125_pilon.6",596,0,1093,1118,424,770,365,436,1108,1516,343,285,273,699,241,"Segkk3125_pilon",73842,79447,5605,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4689","Acerv_evm.TU.Segkk3126_pilon.11",93,6,213,179,60,105,76,73,255,333,51,85,51,146,49,"Segkk3126_pilon",87049,91163,4114,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4694","Acerv_evm.TU.Segkk3126_pilon.9",106,0,216,184,100,161,95,72,155,285,62,70,70,199,42,"Segkk3126_pilon",68945,74602,5657,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4695","Acerv_evm.TU.Segkk3127_pilon.1",191,0,330,177,114,215,94,92,138,312,38,65,69,199,41,"Segkk3127_pilon",114,9231,9117,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4709","Acerv_evm.TU.Segkk3134_pilon.6",159,0,352,222,121,207,99,77,161,324,48,45,69,208,40,"Segkk3134_pilon",67549,76181,8632,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4721","Acerv_evm.TU.Segkk3139_pilon.3",866,0,1709,1650,589,1164,529,444,1068,1610,433,594,426,1092,336,"Segkk3139_pilon",30887,56522,25635,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4722","Acerv_evm.TU.Segkk3139_pilon.5",620,0,934,828,433,845,293,360,474,730,184,165,352,622,133,"Segkk3139_pilon",64171,76791,12620,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4723","Acerv_evm.TU.Segkk3139_pilon.6",66,0,121,89,51,76,54,41,76,106,24,47,30,47,22,"Segkk3139_pilon",86213,99675,13462,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4731","Acerv_evm.TU.Segkk3142_pilon.1",2514,0,4482,4982,2295,4332,1486,3336,6110,7225,1894,983,1639,2748,754,"Segkk3142_pilon",170,18705,18535,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4737","Acerv_evm.TU.Segkk3142_pilon.17",300,6,545,383,253,463,131,149,296,438,92,44,166,334,59,"Segkk3142_pilon",153619,157013,3394,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4739","Acerv_evm.TU.Segkk3142_pilon.3",298,0,447,465,166,343,160,169,516,595,161,183,144,338,126,"Segkk3142_pilon",25448,36570,11122,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4744","Acerv_evm.TU.Segkk3145_pilon.1",352,0,702,645,268,445,231,272,397,769,171,174,170,480,103,"Segkk3145_pilon",6577,18007,11430,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4747","Acerv_evm.TU.Segkk3145_pilon.15",35,4,45,37,18,43,19,20,39,36,11,13,18,23,9,"Segkk3145_pilon",111703,112758,1055,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4748","Acerv_evm.TU.Segkk3145_pilon.3",190,0,402,406,166,284,190,200,315,404,126,221,154,265,100,"Segkk3145_pilon",24151,48691,24540,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4753","Acerv_evm.TU.Segkk3149_pilon.1",71,1,131,77,35,72,29,12,59,98,14,35,32,94,14,"Segkk3149_pilon",3131,4147,1016,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4754","Acerv_evm.TU.Segkk3149_pilon.2",49,0,89,67,27,51,30,8,18,25,6,17,26,43,9,"Segkk3149_pilon",7267,8259,992,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4762","Acerv_evm.TU.Segkk3154_pilon.3",95,0,140,142,93,131,45,71,104,123,45,32,36,111,26,"Segkk3154_pilon",14449,20221,5772,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4789","Acerv_evm.TU.Segkk3167_pilon.17",725,0,1454,1564,580,991,575,756,1619,2057,523,440,373,1025,352,"Segkk3167_pilon",163463,179172,15709,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4795","Acerv_evm.TU.Segkk3167_pilon.26",934,0,2102,1822,623,1025,689,840,1865,2065,523,705,376,981,430,"Segkk3167_pilon",270117,298909,28792,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4797","Acerv_evm.TU.Segkk3167_pilon.8",149,0,180,395,101,227,94,153,317,448,74,111,96,192,62,"Segkk3167_pilon",76765,79552,2787,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4798","Acerv_evm.TU.Segkk317_pilon.1",185,5,311,248,104,197,118,204,198,307,74,98,72,206,66,"Segkk317_pilon",910,8369,7459,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4799","Acerv_evm.TU.Segkk317_pilon.3",137,0,229,259,72,178,75,135,221,308,70,62,58,132,50,"Segkk317_pilon",40389,49350,8961,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4805","Acerv_evm.TU.Segkk3172_pilon.7",63,0,96,95,33,66,24,16,53,102,35,25,19,57,16,"Segkk3172_pilon",73418,75837,2419,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"4809","Acerv_evm.TU.Segkk3174_pilon.3",1104,0,2253,2432,877,1441,924,1189,2500,3241,901,1246,585,1419,625,"Segkk3174_pilon",14179,27835,13656,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
