"","GO.IDs","term","ontology","over_represented_pvalue","GO.Term","GO.Slim.Term","Cat","Species","Site"
"59661","GO:0060391","positive regulation of SMAD protein signal transduction","BP",0.027745706,"positive regulation of SMAD protein nuclear translocation","signal transduction","P","M.cavernosa","Florida"
"59688","GO:0060412","ventricular septum morphogenesis","BP",0.042771719,"ventricular septum morphogenesis","developmental processes","P","M.cavernosa","Florida"
"60140","GO:0060914","heart formation","BP",0.020112146,NA,NA,NA,"M.cavernosa","Florida"
"60141","GO:0060928","atrioventricular node cell development","BP",0.009679747,NA,NA,NA,"M.cavernosa","Florida"
"60142","GO:0061028","establishment of endothelial barrier","BP",0.021079837,NA,NA,NA,"M.cavernosa","Florida"
"60143","GO:0061312","BMP signaling pathway involved in heart development","BP",0.009502871,NA,NA,NA,"M.cavernosa","Florida"
"60144","GO:0061626","pharyngeal arch artery morphogenesis","BP",0.014362501,NA,NA,NA,"M.cavernosa","Florida"
"60145","GO:0061684","chaperone-mediated autophagy","BP",0.011025332,NA,NA,NA,"M.cavernosa","Florida"
"60499","GO:0070257","positive regulation of mucus secretion","BP",7.15e-05,"positive regulation of mucus secretion","transport","P","M.cavernosa","Florida"
"60798","GO:0070509","calcium ion import","BP",0.043535909,"calcium ion import","transport","P","M.cavernosa","Florida"
"60826","GO:0070528","protein kinase C signaling","BP",0.02815273,"protein kinase C signaling cascade","signal transduction","P","M.cavernosa","Florida"
"61207","GO:0071315","cellular response to morphine","BP",0.009650168,NA,NA,NA,"M.cavernosa","Florida"
"61208","GO:0071360","cellular response to exogenous dsRNA","BP",0.025118304,NA,NA,NA,"M.cavernosa","Florida"
"61209","GO:0071380","cellular response to prostaglandin E stimulus","BP",0.032553671,NA,NA,NA,"M.cavernosa","Florida"
"61210","GO:0071455","cellular response to hyperoxia","BP",0.018665681,NA,NA,NA,"M.cavernosa","Florida"
"61212","GO:0071900","regulation of protein serine/threonine kinase activity","BP",0.013966092,NA,NA,NA,"M.cavernosa","Florida"
"61213","GO:0071902","positive regulation of protein serine/threonine kinase activity","BP",0.024758684,NA,NA,NA,"M.cavernosa","Florida"
"61214","GO:0072488","ammonium transmembrane transport","BP",0.019601482,NA,NA,NA,"M.cavernosa","Florida"
"61259","GO:0075044","positive regulation by symbiont of host autophagy","BP",0.010771441,"autophagy of host cells during interaction with symbiont","other metabolic processes","P","M.cavernosa","Florida"
"61708","GO:0080144","amino acid homeostasis","BP",0.005654587,NA,NA,NA,"M.cavernosa","Florida"
"61740","GO:0090155","negative regulation of sphingolipid biosynthetic process","BP",0.005654587,NA,NA,NA,"M.cavernosa","Florida"
"61741","GO:0090156","cellular sphingolipid homeostasis","BP",0.011406658,NA,NA,NA,"M.cavernosa","Florida"
"61742","GO:0090298","negative regulation of mitochondrial DNA replication","BP",0.005654587,NA,NA,NA,"M.cavernosa","Florida"
"61743","GO:0090303","positive regulation of wound healing","BP",0.038440499,NA,NA,NA,"M.cavernosa","Florida"
"61744","GO:0097065","anterior head development","BP",0.031983885,NA,NA,NA,"M.cavernosa","Florida"
"61746","GO:0097428","protein maturation by iron-sulfur cluster transfer","BP",0.024796912,NA,NA,NA,"M.cavernosa","Florida"
"61751","GO:0099638","endosome to plasma membrane protein transport","BP",0.010266755,NA,NA,NA,"M.cavernosa","Florida"
"61752","GO:0099703","induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration","BP",0.010251631,NA,NA,NA,"M.cavernosa","Florida"
"61755","GO:1901741","positive regulation of myoblast fusion","BP",0.013201201,NA,NA,NA,"M.cavernosa","Florida"
"61756","GO:1901888","regulation of cell junction assembly","BP",0.011237536,NA,NA,NA,"M.cavernosa","Florida"
"61757","GO:1901890","positive regulation of cell junction assembly","BP",0.009954662,NA,NA,NA,"M.cavernosa","Florida"
"61758","GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","BP",0.01099736,NA,NA,NA,"M.cavernosa","Florida"
"61759","GO:1902074","response to salt","BP",0.028231322,NA,NA,NA,"M.cavernosa","Florida"
"61760","GO:1902617","response to fluoride","BP",0.010614114,NA,NA,NA,"M.cavernosa","Florida"
"61761","GO:1902731","negative regulation of chondrocyte proliferation","BP",0.009746732,NA,NA,NA,"M.cavernosa","Florida"
"61762","GO:1902895","positive regulation of pri-miRNA transcription by RNA polymerase II","BP",0.041691004,NA,NA,NA,"M.cavernosa","Florida"
"61763","GO:1903044","protein localization to membrane raft","BP",0.019942825,NA,NA,NA,"M.cavernosa","Florida"
"61764","GO:1903204","negative regulation of oxidative stress-induced neuron death","BP",0.034494398,NA,NA,NA,"M.cavernosa","Florida"
"61765","GO:1903602","thermospermine catabolic process","BP",0.004225595,NA,NA,NA,"M.cavernosa","Florida"
"61766","GO:1903609","negative regulation of inward rectifier potassium channel activity","BP",0.009151091,NA,NA,NA,"M.cavernosa","Florida"
"61767","GO:1903706","regulation of hemopoiesis","BP",0.022135443,NA,NA,NA,"M.cavernosa","Florida"
"61768","GO:1904313","response to methamphetamine hydrochloride","BP",0.008770611,NA,NA,NA,"M.cavernosa","Florida"
"61769","GO:1904414","positive regulation of cardiac ventricle development","BP",0.005289377,NA,NA,NA,"M.cavernosa","Florida"
"61770","GO:1904707","positive regulation of vascular smooth muscle cell proliferation","BP",0.046221738,NA,NA,NA,"M.cavernosa","Florida"
"61771","GO:1904719","positive regulation of AMPA glutamate receptor clustering","BP",0.005106591,NA,NA,NA,"M.cavernosa","Florida"
"61772","GO:1905285","fibrous ring of heart morphogenesis","BP",0.005289377,NA,NA,NA,"M.cavernosa","Florida"
"61773","GO:1990090","cellular response to nerve growth factor stimulus","BP",0.006368957,NA,NA,NA,"M.cavernosa","Florida"
"61775","GO:1990504","dense core granule exocytosis","BP",0.012706826,NA,NA,NA,"M.cavernosa","Florida"
"61777","GO:2000049","positive regulation of cell-cell adhesion mediated by cadherin","BP",0.020297038,NA,NA,NA,"M.cavernosa","Florida"
"61778","GO:2000619","negative regulation of histone H4-K16 acetylation","BP",0.005654587,NA,NA,NA,"M.cavernosa","Florida"
"61779","GO:2000650","negative regulation of sodium ion transmembrane transporter activity","BP",0.012856776,NA,NA,NA,"M.cavernosa","Florida"
"61780","GO:2000772","regulation of cellular senescence","BP",0.010394311,NA,NA,NA,"M.cavernosa","Florida"
"61781","GO:2001024","negative regulation of response to drug","BP",0.012706826,NA,NA,NA,"M.cavernosa","Florida"
"61782","GO:2001031","positive regulation of cellular glucuronidation","BP",0.009110924,NA,NA,NA,"M.cavernosa","Florida"
"62754","GO:0001701","in utero embryonic development","BP",0.026484491554184,"in utero embryonic development","developmental processes","P","O.faveolata","Florida"
"63152","GO:0002063","chondrocyte development","BP",0.00431982223350761,"chondrocyte development","developmental processes","P","O.faveolata","Florida"
"64055","GO:0003008","system process","BP",0.0207986464351217,"system process","other biological processes","P","O.faveolata","Florida"
"66823","GO:0006955","immune response","BP",0.0207877424158439,"immune response","other biological processes","P","O.faveolata","Florida"
"67512","GO:0007585","respiratory gaseous exchange by respiratory system","BP",0.00348739806139617,"respiratory gaseous exchange","other biological processes","P","O.faveolata","Florida"
"69097","GO:0009791","post-embryonic development","BP",0.0118395764300183,"post-embryonic development","developmental processes","P","O.faveolata","Florida"
"69275","GO:0009967","positive regulation of signal transduction","BP",0.023515805378922,"positive regulation of signal transduction","signal transduction","P","O.faveolata","Florida"
"75365","GO:0030206","chondroitin sulfate biosynthetic process","BP",0.00439936032482092,"chondroitin sulfate biosynthetic process","other metabolic processes","P","O.faveolata","Florida"
"75627","GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway","BP",0.0119920081322938,"negative regulation of transforming growth factor beta receptor signaling pathway","signal transduction","P","O.faveolata","Florida"
"78403","GO:0033037","polysaccharide localization","BP",0.00226062380349728,"polysaccharide localization","other biological processes","P","O.faveolata","Florida"
"80969","GO:0036342","post-anal tail morphogenesis","BP",0.0110911269628763,NA,NA,NA,"O.faveolata","Florida"
"81126","GO:0042127","regulation of cell population proliferation","BP",0.0153396549107457,"regulation of cell proliferation","cell cycle and proliferation","P","O.faveolata","Florida"
"81762","GO:0042733","embryonic digit morphogenesis","BP",0.0098206968999555,"embryonic digit morphogenesis","developmental processes","P","O.faveolata","Florida"
"82103","GO:0043065","positive regulation of apoptotic process","BP",0.0293161967458291,"positive regulation of apoptosis","death","P","O.faveolata","Florida"
"82104","GO:0043066","negative regulation of apoptotic process","BP",0.0450327425567693,"negative regulation of apoptosis","death","P","O.faveolata","Florida"
"82153","GO:0043123","positive regulation of I-kappaB kinase/NF-kappaB signaling","BP",0.0120933668214507,"positive regulation of I-kappaB kinase/NF-kappaB cascade","signal transduction","P","O.faveolata","Florida"
"84230","GO:0045893","positive regulation of transcription, DNA-templated","BP",0.0395569630696894,"positive regulation of transcription, DNA-dependent","RNA metabolism","P","O.faveolata","Florida"
"85141","GO:0046777","protein autophosphorylation","BP",0.0252651623617438,"protein amino acid autophosphorylation","protein metabolism","P","O.faveolata","Florida"
"86911","GO:0048589","developmental growth","BP",0.0118768481206077,"developmental growth","other biological processes","P","O.faveolata","Florida"
"87073","GO:0048703","embryonic viscerocranium morphogenesis","BP",0.00674253780636777,"embryonic viscerocranium morphogenesis","developmental processes","P","O.faveolata","Florida"
"87974","GO:0050655","dermatan sulfate proteoglycan metabolic process","BP",0.000761440159945576,"dermatan sulfate proteoglycan metabolic process","other metabolic processes","P","O.faveolata","Florida"
"88219","GO:0050896","response to stimulus","BP",0.0422206496367251,"response to stimulus","other biological processes","P","O.faveolata","Florida"
"92055","GO:0071260","cellular response to mechanical stimulus","BP",0.0116151231087962,NA,NA,NA,"O.faveolata","Florida"
"92056","GO:0071864","positive regulation of cell proliferation in bone marrow","BP",0.00303514761460099,NA,NA,NA,"O.faveolata","Florida"
"92582","GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis","BP",0.00540391017629176,NA,NA,NA,"O.faveolata","Florida"
"92583","GO:1900745","positive regulation of p38MAPK cascade","BP",0.00677895300935677,NA,NA,NA,"O.faveolata","Florida"
"92584","GO:2000773","negative regulation of cellular senescence","BP",0.00613043011070298,NA,NA,NA,"O.faveolata","Florida"
"92833","GO:0000245","spliceosomal complex assembly","BP",0.004146037,"spliceosome assembly","RNA metabolism","P","P.lobata","Hawaii"
"92834","GO:0000245","spliceosomal complex assembly","BP",0.004146037,"spliceosome assembly","cell organization and biogenesis","P","P.lobata","Hawaii"
"93086","GO:0000578","embryonic axis specification","BP",0.03784146,"embryonic axis specification","developmental processes","P","P.lobata","Hawaii"
"93122","GO:0000717","nucleotide-excision repair, DNA duplex unwinding","BP",0.015494047,"nucleotide-excision repair, DNA duplex unwinding","stress response","P","P.lobata","Hawaii"
"93123","GO:0000717","nucleotide-excision repair, DNA duplex unwinding","BP",0.015494047,"nucleotide-excision repair, DNA duplex unwinding","DNA metabolism","P","P.lobata","Hawaii"
"93519","GO:0001654","eye development","BP",0.001623067,"eye development","developmental processes","P","P.lobata","Hawaii"
"93624","GO:0001771","immunological synapse formation","BP",0.033421402,"formation of immunological synapse","other biological processes","P","P.lobata","Hawaii"
"93634","GO:0001779","natural killer cell differentiation","BP",0.046493989,"natural killer cell differentiation","developmental processes","P","P.lobata","Hawaii"
"93692","GO:0001831","trophectodermal cellular morphogenesis","BP",0.034066289,"trophectodermal cellular morphogenesis","cell organization and biogenesis","P","P.lobata","Hawaii"
"93693","GO:0001831","trophectodermal cellular morphogenesis","BP",0.034066289,"trophectodermal cellular morphogenesis","developmental processes","P","P.lobata","Hawaii"
"93751","GO:0001879","detection of yeast","BP",0.007138708,"detection of yeast","other biological processes","P","P.lobata","Hawaii"
"93753","GO:0001881","receptor recycling","BP",0.045353198,"receptor recycling","signal transduction","P","P.lobata","Hawaii"
"93754","GO:0001881","receptor recycling","BP",0.045353198,"receptor recycling","other metabolic processes","P","P.lobata","Hawaii"
"94654","GO:0002762","negative regulation of myeloid leukocyte differentiation","BP",0.020001549,"negative regulation of myeloid leukocyte differentiation","developmental processes","P","P.lobata","Hawaii"
"94978","GO:0003197","endocardial cushion development","BP",0.043206828,NA,NA,NA,"P.lobata","Hawaii"
"96889","GO:0006183","GTP biosynthetic process","BP",0.03563585,"GTP biosynthetic process","other metabolic processes","P","P.lobata","Hawaii"
"96929","GO:0006228","UTP biosynthetic process","BP",0.01978946,"UTP biosynthetic process","other metabolic processes","P","P.lobata","Hawaii"
"96942","GO:0006241","CTP biosynthetic process","BP",0.037046843,"CTP biosynthetic process","other metabolic processes","P","P.lobata","Hawaii"
"96959","GO:0006264","mitochondrial DNA replication","BP",0.002970756,"mitochondrial DNA replication","DNA metabolism","P","P.lobata","Hawaii"
"96960","GO:0006264","mitochondrial DNA replication","BP",0.002970756,"mitochondrial DNA replication","cell organization and biogenesis","P","P.lobata","Hawaii"
"96982","GO:0006283","transcription-coupled nucleotide-excision repair","BP",0.046646858,"transcription-coupled nucleotide-excision repair","DNA metabolism","P","P.lobata","Hawaii"
"96983","GO:0006283","transcription-coupled nucleotide-excision repair","BP",0.046646858,"transcription-coupled nucleotide-excision repair","stress response","P","P.lobata","Hawaii"
"97030","GO:0006312","mitotic recombination","BP",0.031820576,"mitotic recombination","DNA metabolism","P","P.lobata","Hawaii"
"97053","GO:0006346","DNA methylation-dependent heterochromatin assembly","BP",0.038672019,"methylation-dependent chromatin silencing","RNA metabolism","P","P.lobata","Hawaii"
"97054","GO:0006346","DNA methylation-dependent heterochromatin assembly","BP",0.038672019,"methylation-dependent chromatin silencing","cell organization and biogenesis","P","P.lobata","Hawaii"
"97072","GO:0006362","transcription elongation from RNA polymerase I promoter","BP",0.015494047,"RNA elongation from RNA polymerase I promoter","RNA metabolism","P","P.lobata","Hawaii"
"97182","GO:0006468","protein phosphorylation","BP",0.00984472,"protein amino acid phosphorylation","protein metabolism","P","P.lobata","Hawaii"
"97190","GO:0006477","protein sulfation","BP",0.022136078,"protein amino acid sulfation","protein metabolism","P","P.lobata","Hawaii"
"97201","GO:0006491","N-glycan processing","BP",0.039878479,"N-glycan processing","protein metabolism","P","P.lobata","Hawaii"
"97350","GO:0006646","phosphatidylethanolamine biosynthetic process","BP",0.000504796,"phosphatidylethanolamine biosynthetic process","other metabolic processes","P","P.lobata","Hawaii"
"97696","GO:0007010","cytoskeleton organization","BP",0.008079152,"cytoskeleton organization","cell organization and biogenesis","P","P.lobata","Hawaii"
"97701","GO:0007017","microtubule-based process","BP",0.037597796,"microtubule-based process","other biological processes","P","P.lobata","Hawaii"
"97734","GO:0007052","mitotic spindle organization","BP",0.028261158,"mitotic spindle organization","cell organization and biogenesis","P","P.lobata","Hawaii"
"97735","GO:0007052","mitotic spindle organization","BP",0.028261158,"mitotic spindle organization","cell cycle and proliferation","P","P.lobata","Hawaii"
"97748","GO:0007059","chromosome segregation","BP",0.020076301,"chromosome segregation","other biological processes","P","P.lobata","Hawaii"
"97887","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","BP",0.044255717,"transmembrane receptor protein tyrosine kinase signaling pathway","signal transduction","P","P.lobata","Hawaii"
"97963","GO:0007229","integrin-mediated signaling pathway","BP",0.015215116,"integrin-mediated signaling pathway","signal transduction","P","P.lobata","Hawaii"
"98076","GO:0007344","pronuclear fusion","BP",0.021874217,"pronuclear fusion","cell organization and biogenesis","P","P.lobata","Hawaii"
"98122","GO:0007387","anterior compartment pattern formation","BP",0.01839143,"anterior compartment specification","developmental processes","P","P.lobata","Hawaii"
"98123","GO:0007388","posterior compartment specification","BP",0.01839143,"posterior compartment specification","developmental processes","P","P.lobata","Hawaii"
"98227","GO:0007493","endodermal cell fate determination","BP",0.015483379,"endodermal cell fate determination","developmental processes","P","P.lobata","Hawaii"
"98236","GO:0007500","mesodermal cell fate determination","BP",0.015291358,"mesodermal cell fate determination","developmental processes","P","P.lobata","Hawaii"
"98242","GO:0007506","gonadal mesoderm development","BP",0.007992687,"gonadal mesoderm development","developmental processes","P","P.lobata","Hawaii"
"98245","GO:0007509","mesoderm migration involved in gastrulation","BP",0.016047825,"mesoderm migration","developmental processes","P","P.lobata","Hawaii"
"98258","GO:0007523","larval visceral muscle development","BP",0.007992687,"larval visceral muscle development","developmental processes","P","P.lobata","Hawaii"
"98260","GO:0007525","somatic muscle development","BP",0.039752237,"somatic muscle development","developmental processes","P","P.lobata","Hawaii"
"98325","GO:0007596","blood coagulation","BP",0.019408847,"blood coagulation","stress response","P","P.lobata","Hawaii"
"98328","GO:0007599","hemostasis","BP",0.028161525,"hemostasis","other biological processes","P","P.lobata","Hawaii"
"98391","GO:0008037","cell recognition","BP",0.022047981,"cell recognition","other biological processes","P","P.lobata","Hawaii"
"98669","GO:0008360","regulation of cell shape","BP",0.023132412,"regulation of cell shape","cell organization and biogenesis","P","P.lobata","Hawaii"
"99832","GO:0009723","response to ethylene","BP",0.003025668,"response to ethylene stimulus","other biological processes","P","P.lobata","Hawaii"
"100060","GO:0009949","polarity specification of anterior/posterior axis","BP",0.021991989,"polarity specification of anterior/posterior axis","developmental processes","P","P.lobata","Hawaii"
"100108","GO:0010002","cardioblast differentiation","BP",0.04795123,"cardioblast differentiation","developmental processes","P","P.lobata","Hawaii"
"100192","GO:0010085","polarity specification of proximal/distal axis","BP",0.023970554,"polarity specification of proximal/distal axis","developmental processes","P","P.lobata","Hawaii"
"100576","GO:0010454","negative regulation of cell fate commitment","BP",0.007493634,"negative regulation of cell fate commitment","other biological processes","P","P.lobata","Hawaii"
"100577","GO:0010455","positive regulation of cell fate commitment","BP",0.007493634,"positive regulation of cell fate commitment","other biological processes","P","P.lobata","Hawaii"
"100984","GO:0010801","negative regulation of peptidyl-threonine phosphorylation","BP",0.049250497,"negative regulation of peptidyl-threonine phosphorylation","protein metabolism","P","P.lobata","Hawaii"
"101008","GO:0010820","positive regulation of T cell chemotaxis","BP",0.038323937,"positive regulation of T cell chemotaxis","other biological processes","P","P.lobata","Hawaii"
"101174","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","BP",0.005336525,"positive regulation of G2/M transition of mitotic cell cycle","cell cycle and proliferation","P","P.lobata","Hawaii"
"101263","GO:0014033","neural crest cell differentiation","BP",0.03792525,"neural crest cell differentiation","developmental processes","P","P.lobata","Hawaii"
"101268","GO:0014036","neural crest cell fate specification","BP",0.01839143,"neural crest cell fate specification","cell organization and biogenesis","P","P.lobata","Hawaii"
"101269","GO:0014036","neural crest cell fate specification","BP",0.01839143,"neural crest cell fate specification","developmental processes","P","P.lobata","Hawaii"
"101271","GO:0014038","regulation of Schwann cell differentiation","BP",0.007511118,"regulation of Schwann cell differentiation","developmental processes","P","P.lobata","Hawaii"
"101349","GO:0014719","skeletal muscle satellite cell activation","BP",0.022253364,"satellite cell activation","other biological processes","P","P.lobata","Hawaii"
"102052","GO:0015701","bicarbonate transport","BP",0.015405533,"bicarbonate transport","transport","P","P.lobata","Hawaii"
"102735","GO:0016477","cell migration","BP",0.002553513,"cell migration","other biological processes","P","P.lobata","Hawaii"
"102853","GO:0016601","Rac protein signal transduction","BP",0.044921995,"Rac protein signal transduction","signal transduction","P","P.lobata","Hawaii"
"103276","GO:0017145","stem cell division","BP",0.034965361,"stem cell division","other biological processes","P","P.lobata","Hawaii"
"103416","GO:0018105","peptidyl-serine phosphorylation","BP",0.020122829,"peptidyl-serine phosphorylation","protein metabolism","P","P.lobata","Hawaii"
"103417","GO:0018106","peptidyl-histidine phosphorylation","BP",0.011997458,"peptidyl-histidine phosphorylation","protein metabolism","P","P.lobata","Hawaii"
"104291","GO:0019050","suppression by virus of host apoptotic process","BP",0.007990254,"suppression by virus of host apoptosis","death","P","P.lobata","Hawaii"
"104695","GO:0019478","D-amino acid catabolic process","BP",0.010441829,"D-amino acid catabolic process","other metabolic processes","P","P.lobata","Hawaii"
"104857","GO:0019646","aerobic electron transport chain","BP",0.011807868,"aerobic electron transport chain","other metabolic processes","P","P.lobata","Hawaii"
"105206","GO:0021516","dorsal spinal cord development","BP",0.040894098,"dorsal spinal cord development","developmental processes","P","P.lobata","Hawaii"
"105237","GO:0021545","cranial nerve development","BP",0.043940851,"cranial nerve development","developmental processes","P","P.lobata","Hawaii"
"105322","GO:0021631","optic nerve morphogenesis","BP",0.0151344,"optic nerve morphogenesis","developmental processes","P","P.lobata","Hawaii"
"105727","GO:0021952","central nervous system projection neuron axonogenesis","BP",0.024737015,"central nervous system projection neuron axonogenesis","cell organization and biogenesis","P","P.lobata","Hawaii"
"105728","GO:0021952","central nervous system projection neuron axonogenesis","BP",0.024737015,"central nervous system projection neuron axonogenesis","developmental processes","P","P.lobata","Hawaii"
"105799","GO:0021999","neural plate anterior/posterior regionalization","BP",0.02861052,"neural plate anterioposterior pattern formation","developmental processes","P","P.lobata","Hawaii"
"105981","GO:0030003","cellular cation homeostasis","BP",0.015492494,"cellular cation homeostasis","other biological processes","P","P.lobata","Hawaii"
"106001","GO:0030032","lamellipodium assembly","BP",0.008254256,"lamellipodium assembly","cell organization and biogenesis","P","P.lobata","Hawaii"
"106290","GO:0030324","lung development","BP",0.01541899,"lung development","developmental processes","P","P.lobata","Hawaii"
"106411","GO:0030488","tRNA methylation","BP",0.032457382,"tRNA methylation","RNA metabolism","P","P.lobata","Hawaii"
"106428","GO:0030510","regulation of BMP signaling pathway","BP",0.041205806,"regulation of BMP signaling pathway","signal transduction","P","P.lobata","Hawaii"
"107000","GO:0031056","regulation of histone modification","BP",0.038721005,"regulation of histone modification","protein metabolism","P","P.lobata","Hawaii"
"107001","GO:0031056","regulation of histone modification","BP",0.038721005,"regulation of histone modification","cell organization and biogenesis","P","P.lobata","Hawaii"
"107407","GO:0031400","negative regulation of protein modification process","BP",0.038378143,"negative regulation of protein modification process","protein metabolism","P","P.lobata","Hawaii"
"107688","GO:0031643","positive regulation of myelination","BP",0.03016937,"positive regulation of myelination","developmental processes","P","P.lobata","Hawaii"
"108398","GO:0032289","central nervous system myelin formation","BP",0.037059212,"myelin formation in the central nervous system","cell organization and biogenesis","P","P.lobata","Hawaii"
"108399","GO:0032289","central nervous system myelin formation","BP",0.037059212,"myelin formation in the central nervous system","developmental processes","P","P.lobata","Hawaii"
"109841","GO:0033567","DNA replication, Okazaki fragment processing","BP",0.034008729,"DNA replication, Okazaki fragment processing","DNA metabolism","P","P.lobata","Hawaii"
"109961","GO:0033683","nucleotide-excision repair, DNA incision","BP",0.022501559,"nucleotide-excision repair, DNA incision","DNA metabolism","P","P.lobata","Hawaii"
"109962","GO:0033683","nucleotide-excision repair, DNA incision","BP",0.022501559,"nucleotide-excision repair, DNA incision","stress response","P","P.lobata","Hawaii"
"111448","GO:0035024","negative regulation of Rho protein signal transduction","BP",0.019136123,"negative regulation of Rho protein signal transduction","signal transduction","P","P.lobata","Hawaii"
"111464","GO:0035041","sperm chromatin decondensation","BP",0.014224335,"sperm chromatin decondensation","cell organization and biogenesis","P","P.lobata","Hawaii"
"111469","GO:0035046","pronuclear migration","BP",0.020334925,"pronuclear migration","other biological processes","P","P.lobata","Hawaii"
"111483","GO:0035063","nuclear speck organization","BP",0.014224335,"nuclear speck organization","cell organization and biogenesis","P","P.lobata","Hawaii"
"111503","GO:0035076","ecdysone receptor-mediated signaling pathway","BP",0.014224335,"ecdysone receptor-mediated signaling pathway","signal transduction","P","P.lobata","Hawaii"
"111504","GO:0035076","ecdysone receptor-mediated signaling pathway","BP",0.014224335,"ecdysone receptor-mediated signaling pathway","developmental processes","P","P.lobata","Hawaii"
"111524","GO:0035092","sperm chromatin condensation","BP",0.014224335,"sperm chromatin condensation","cell organization and biogenesis","P","P.lobata","Hawaii"
"111605","GO:0035169","lymph gland plasmatocyte differentiation","BP",0.007992687,"lymph gland plasmatocyte differentiation","developmental processes","P","P.lobata","Hawaii"
"111606","GO:0035170","lymph gland crystal cell differentiation","BP",0.007992687,"lymph gland crystal cell differentiation","developmental processes","P","P.lobata","Hawaii"
"111726","GO:0035282","segmentation","BP",0.038262148,"segmentation","developmental processes","P","P.lobata","Hawaii"
"111772","GO:0036018","cellular response to erythropoietin","BP",0.016046901,NA,NA,NA,"P.lobata","Hawaii"
"111774","GO:0036466","synaptic vesicle recycling via endosome","BP",0.007990254,NA,NA,NA,"P.lobata","Hawaii"
"111775","GO:0036509","trimming of terminal mannose on B branch","BP",0.008984143,NA,NA,NA,"P.lobata","Hawaii"
"111776","GO:0038061","NIK/NF-kappaB signaling","BP",0.037878252,NA,NA,NA,"P.lobata","Hawaii"
"111788","GO:0040011","locomotion","BP",0.012369884,"locomotion","other biological processes","P","P.lobata","Hawaii"
"111789","GO:0040012","regulation of locomotion","BP",0.008186208,"regulation of locomotion","other biological processes","P","P.lobata","Hawaii"
"111793","GO:0040016","embryonic cleavage","BP",0.002484953,"embryonic cleavage","developmental processes","P","P.lobata","Hawaii"
"111856","GO:0042044","fluid transport","BP",0.007286888,"fluid transport","transport","P","P.lobata","Hawaii"
"111875","GO:0042065","glial cell growth","BP",0.007992687,"glial cell growth","developmental processes","P","P.lobata","Hawaii"
"111923","GO:0042117","monocyte activation","BP",0.036994457,"monocyte activation","other biological processes","P","P.lobata","Hawaii"
"112377","GO:0042542","response to hydrogen peroxide","BP",0.024208775,"response to hydrogen peroxide","stress response","P","P.lobata","Hawaii"
"112505","GO:0042670","retinal cone cell differentiation","BP",0.015788386,"retinal cone cell differentiation","developmental processes","P","P.lobata","Hawaii"
"112589","GO:0042752","regulation of circadian rhythm","BP",0.031423157,"regulation of circadian rhythm","other biological processes","P","P.lobata","Hawaii"
"112749","GO:0042908","xenobiotic transport","BP",0.016151185,"xenobiotic transport","transport","P","P.lobata","Hawaii"
"112975","GO:0043137","DNA replication, removal of RNA primer","BP",0.033721631,"DNA replication, removal of RNA primer","DNA metabolism","P","P.lobata","Hawaii"
"112976","GO:0043137","DNA replication, removal of RNA primer","BP",0.033721631,"DNA replication, removal of RNA primer","RNA metabolism","P","P.lobata","Hawaii"
"112994","GO:0043149","stress fiber assembly","BP",0.03934984,"stress fiber formation","cell organization and biogenesis","P","P.lobata","Hawaii"
"113102","GO:0043249","erythrocyte maturation","BP",0.0352962,"erythrocyte maturation","developmental processes","P","P.lobata","Hawaii"
"113236","GO:0043388","positive regulation of DNA binding","BP",0.002776444,"positive regulation of DNA binding","other biological processes","P","P.lobata","Hawaii"
"113260","GO:0043408","regulation of MAPK cascade","BP",0.022514127,"regulation of MAPKKK cascade","signal transduction","P","P.lobata","Hawaii"
"113321","GO:0043467","regulation of generation of precursor metabolites and energy","BP",0.039328628,"regulation of generation of precursor metabolites and energy","other metabolic processes","P","P.lobata","Hawaii"
"113359","GO:0043504","mitochondrial DNA repair","BP",0.001977759,"mitochondrial DNA repair","DNA metabolism","P","P.lobata","Hawaii"
"113360","GO:0043504","mitochondrial DNA repair","BP",0.001977759,"mitochondrial DNA repair","cell organization and biogenesis","P","P.lobata","Hawaii"
"113361","GO:0043504","mitochondrial DNA repair","BP",0.001977759,"mitochondrial DNA repair","stress response","P","P.lobata","Hawaii"
"114057","GO:0044335","canonical Wnt signaling pathway involved in neural crest cell differentiation","BP",0.041911897,NA,NA,NA,"P.lobata","Hawaii"
"114058","GO:0044346","fibroblast apoptotic process","BP",0.025153254,NA,NA,NA,"P.lobata","Hawaii"
"114126","GO:0044826","viral genome integration into host DNA","BP",0.018596484,NA,NA,NA,"P.lobata","Hawaii"
"114127","GO:0045002","double-strand break repair via single-strand annealing","BP",0.026771311,"double-strand break repair via single-strand annealing","stress response","P","P.lobata","Hawaii"
"114128","GO:0045002","double-strand break repair via single-strand annealing","BP",0.026771311,"double-strand break repair via single-strand annealing","DNA metabolism","P","P.lobata","Hawaii"
"114451","GO:0045315","positive regulation of compound eye photoreceptor development","BP",0.008068669,"positive regulation of compound eye photoreceptor development","developmental processes","P","P.lobata","Hawaii"
