"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site"
"169","GO:0071372","cellular response to follicle-stimulating hormone stimulus","BP",0.020202312516339,"P.acuta","Hawaii"
"171","GO:0046690","response to tellurium ion","BP",0.0111342320707719,"P.acuta","Hawaii"
"173","GO:0010142","farnesyl diphosphate biosynthetic process, mevalonate pathway","BP",0.000434208162796672,"P.acuta","Hawaii"
"174","GO:0009645","response to low light intensity stimulus","BP",0.0111342320707719,"P.acuta","Hawaii"
"1751","GO:0008299","isoprenoid biosynthetic process","BP",0.0209595677007274,"P.acuta","Hawaii"
"1771","GO:0046306","alkanesulfonate catabolic process","BP",0.0099798213669563,"P.acuta","Hawaii"
"1851","GO:0036071","N-glycan fucosylation","BP",0.0100472372264281,"P.acuta","Hawaii"
"1861","GO:0036065","fucosylation","BP",0.0324824926242945,"P.acuta","Hawaii"
"193","GO:0070131","positive regulation of mitochondrial translation","BP",0.0159224496118425,"P.acuta","Hawaii"
"1961","GO:0034551","mitochondrial respiratory chain complex III assembly","BP",0.00791763675625869,"P.acuta","Hawaii"
"203","GO:0071559","response to transforming growth factor beta","BP",0.000371958772700019,"P.acuta","Hawaii"
"205","GO:0008582","regulation of synaptic growth at neuromuscular junction","BP",0.0445522239504459,"P.acuta","Hawaii"
"2131","GO:0098869","cellular oxidant detoxification","BP",0.0252071192711372,"P.acuta","Hawaii"
"2151","GO:0042246","tissue regeneration","BP",0.000791496169172849,"P.acuta","Hawaii"
"221","GO:2001222","regulation of neuron migration","BP",0.00141514090784122,"P.acuta","Hawaii"
"227","GO:0006979","response to oxidative stress","BP",0.0386370925283711,"P.acuta","Hawaii"
"229","GO:0042744","hydrogen peroxide catabolic process","BP",0.00114825199517274,"P.acuta","Hawaii"
"2671","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","BP",0.0226533344836594,"P.acuta","Hawaii"
"268","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP",0.0185475366352747,"P.acuta","Hawaii"
"2751","GO:0007601","visual perception","BP",0.00346343542378202,"P.acuta","Hawaii"
"2782","GO:0009617","response to bacterium","BP",0.0409539923573409,"P.acuta","Hawaii"
"2801","GO:0090527","actin filament reorganization","BP",0.00293965236337904,"P.acuta","Hawaii"
"2831","GO:0071711","basement membrane organization","BP",0.00341816863595082,"P.acuta","Hawaii"
"291","GO:0070342","brown fat cell proliferation","BP",0.0119567777316819,"P.acuta","Hawaii"
"292","GO:0001659","temperature homeostasis","BP",0.0454911015515008,"P.acuta","Hawaii"
"293","GO:1990519","pyrimidine nucleotide import into mitochondrion","BP",0.0259896854971674,"P.acuta","Hawaii"
"294","GO:0006864","pyrimidine nucleotide transport","BP",0.0259896854971674,"P.acuta","Hawaii"
"3001","GO:0001937","negative regulation of endothelial cell proliferation","BP",0.0206046301155725,"P.acuta","Hawaii"
"301","GO:0003084","positive regulation of systemic arterial blood pressure","BP",0.0421501499828829,"P.acuta","Hawaii"
"302","GO:0048514","blood vessel morphogenesis","BP",0.0169473881039845,"P.acuta","Hawaii"
"303","GO:0008585","female gonad development","BP",0.0271895502346526,"P.acuta","Hawaii"
"304","GO:0060674","placenta blood vessel development","BP",0.0148228491400867,"P.acuta","Hawaii"
"3051","GO:0001893","maternal placenta development","BP",0.00948179826267331,"P.acuta","Hawaii"
"306","GO:0060173","limb development","BP",0.00306939626866819,"P.acuta","Hawaii"
"3081","GO:0030522","intracellular receptor signaling pathway","BP",0.0229627729174012,"P.acuta","Hawaii"
"3091","GO:0001764","neuron migration","BP",0.0322381715988433,"P.acuta","Hawaii"
"310","GO:0030900","forebrain development","BP",3.93317542963552e-07,"P.acuta","Hawaii"
"311","GO:0010596","negative regulation of endothelial cell migration","BP",0.00568413553512299,"P.acuta","Hawaii"
"312","GO:0001945","lymph vessel development","BP",0.0238413422572863,"P.acuta","Hawaii"
"313","GO:0009956","radial pattern formation","BP",0.00220369382594515,"P.acuta","Hawaii"
"314","GO:0060838","lymphatic endothelial cell fate commitment","BP",0.00220369382594515,"P.acuta","Hawaii"
"315","GO:0060707","trophoblast giant cell differentiation","BP",0.0190755230918997,"P.acuta","Hawaii"
"319","GO:0045743","positive regulation of fibroblast growth factor receptor signaling pathway","BP",0.0003387304644549,"P.acuta","Hawaii"
"3221","GO:0032849","positive regulation of cellular pH reduction","BP",0.0113922952038175,"P.acuta","Hawaii"
"3231","GO:2001225","regulation of chloride transport","BP",0.0126814710777604,"P.acuta","Hawaii"
"3241","GO:2001150","positive regulation of dipeptide transmembrane transport","BP",0.0158690396454143,"P.acuta","Hawaii"
"3251","GO:0044070","regulation of anion transport","BP",0.010875934933516,"P.acuta","Hawaii"
"326","GO:0009268","response to pH","BP",0.0218262648609795,"P.acuta","Hawaii"
"327","GO:0045672","positive regulation of osteoclast differentiation","BP",0.0461953641015943,"P.acuta","Hawaii"
"328","GO:0015670","carbon dioxide transport","BP",0.0202064986533828,"P.acuta","Hawaii"
"329","GO:0042539","hypotonic salinity response","BP",0.00818940523094768,"P.acuta","Hawaii"
"330","GO:0045780","positive regulation of bone resorption","BP",0.035204000038401,"P.acuta","Hawaii"
"332","GO:0046903","secretion","BP",0.00292204462241164,"P.acuta","Hawaii"
"334","GO:0006885","regulation of pH","BP",0.0245793543156743,"P.acuta","Hawaii"
"337","GO:0038166","angiotensin-activated signaling pathway","BP",0.0230680238748447,"P.acuta","Hawaii"
"3711","GO:0106034","protein maturation by [2Fe-2S] cluster transfer","BP",0.0453746386494271,"P.acuta","Hawaii"
"373","GO:0035915","pore formation in membrane of other organism","BP",0.0252323629506972,"P.acuta","Hawaii"
"3761","GO:0016055","Wnt signaling pathway","BP",0.00383017589363519,"P.acuta","Hawaii"
"377","GO:0060993","kidney morphogenesis","BP",0.0223023508296484,"P.acuta","Hawaii"
"378","GO:0090090","negative regulation of canonical Wnt signaling pathway","BP",0.00780219370448135,"P.acuta","Hawaii"
"380","GO:0070525","tRNA threonylcarbamoyladenosine metabolic process","BP",0.0462052344987918,"P.acuta","Hawaii"
"381","GO:0008033","tRNA processing","BP",0.00141948988120031,"P.acuta","Hawaii"
"382","GO:0003417","growth plate cartilage development","BP",0.00954975947320542,"P.acuta","Hawaii"
"385","GO:1904244","positive regulation of pancreatic trypsinogen secretion","BP",0.0269856606205852,"P.acuta","Hawaii"
"386","GO:0033506","glucosinolate biosynthetic process from homomethionine","BP",0.00126288683119915,"P.acuta","Hawaii"
"3901","GO:0019761","glucosinolate biosynthetic process","BP",0.00190373353348332,"P.acuta","Hawaii"
"438","GO:0007017","microtubule-based process","BP",0.041924102452783,"P.acuta","Hawaii"
"440","GO:0061077","chaperone-mediated protein folding","BP",0.049716619725374,"P.acuta","Hawaii"
"444","GO:0000413","protein peptidyl-prolyl isomerization","BP",0.0363687048464877,"P.acuta","Hawaii"
"456","GO:0007275","multicellular organism development","BP",1.15149950038088e-06,"P.acuta","Hawaii"
"460","GO:0003012","muscle system process","BP",0.022006351265879,"P.acuta","Hawaii"
"463","GO:0008535","respiratory chain complex IV assembly","BP",0.000217385062582059,"P.acuta","Hawaii"
"464","GO:1900077","negative regulation of cellular response to insulin stimulus","BP",0.013517944242927,"P.acuta","Hawaii"
"466","GO:0001654","eye development","BP",2.16455637775801e-06,"P.acuta","Hawaii"
"467","GO:0006825","copper ion transport","BP",0.0330483267965394,"P.acuta","Hawaii"
"471","GO:0042168","heme metabolic process","BP",0.006722900642542,"P.acuta","Hawaii"
"4721","GO:0006879","cellular iron ion homeostasis","BP",0.00507408275024539,"P.acuta","Hawaii"
"473","GO:0098829","intestinal folate absorption","BP",0.0432040401616002,"P.acuta","Hawaii"
"476","GO:1904234","positive regulation of aconitate hydratase activity","BP",0.029232087885828,"P.acuta","Hawaii"
"4771","GO:1904439","negative regulation of iron ion import across plasma membrane","BP",0.0151050484426255,"P.acuta","Hawaii"
"4791","GO:0044572","[4Fe-4S] cluster assembly","BP",0.030018491801453,"P.acuta","Hawaii"
"4821","GO:0098867","intramembranous bone growth","BP",0.00457394312269889,"P.acuta","Hawaii"
"497","GO:2001027","negative regulation of endothelial cell chemotaxis","BP",0.022103770042903,"P.acuta","Hawaii"
"503","GO:0003197","endocardial cushion development","BP",0.025102990345513,"P.acuta","Hawaii"
"525","GO:0008210","estrogen metabolic process","BP",0.0349171574261685,"P.acuta","Hawaii"
"530","GO:0006287","base-excision repair, gap-filling","BP",0.00828252280192699,"P.acuta","Hawaii"
"531","GO:0045008","depyrimidination","BP",0.00834085679122665,"P.acuta","Hawaii"
"533","GO:0008152","metabolic process","BP",0.0287333221536906,"P.acuta","Hawaii"
"541","GO:0032074","negative regulation of nuclease activity","BP",0.000150856437753825,"P.acuta","Hawaii"
"554","GO:0050768","negative regulation of neurogenesis","BP",0.00992459372126301,"P.acuta","Hawaii"
"566","GO:0048754","branching morphogenesis of an epithelial tube","BP",0.0282902546401966,"P.acuta","Hawaii"
"570","GO:0030182","neuron differentiation","BP",0.00109614498289606,"P.acuta","Hawaii"
"574","GO:0045165","cell fate commitment","BP",2.82435124047313e-06,"P.acuta","Hawaii"
"576","GO:0072044","collecting duct development","BP",0.000902606648582053,"P.acuta","Hawaii"
"578","GO:0009887","animal organ morphogenesis","BP",0.0350857347854607,"P.acuta","Hawaii"
"586","GO:0035116","embryonic hindlimb morphogenesis","BP",0.0291683311002425,"P.acuta","Hawaii"
"588","GO:0007492","endoderm development","BP",0.0281831785332812,"P.acuta","Hawaii"
"612","GO:0010187","negative regulation of seed germination","BP",0.0470369490679827,"P.acuta","Hawaii"
"6141","GO:0048106","establishment of thoracic bristle planar orientation","BP",0.0279607501189603,"P.acuta","Hawaii"
"615","GO:0014733","regulation of skeletal muscle adaptation","BP",0.00981516458808361,"P.acuta","Hawaii"
"6161","GO:0035321","maintenance of imaginal disc-derived wing hair orientation","BP",0.0279607501189603,"P.acuta","Hawaii"
"6171","GO:0009688","abscisic acid biosynthetic process","BP",0.0107151730444804,"P.acuta","Hawaii"
"6181","GO:0016121","carotene catabolic process","BP",0.0419160666696192,"P.acuta","Hawaii"
"6191","GO:0010162","seed dormancy process","BP",0.0107151730444804,"P.acuta","Hawaii"
"6211","GO:1901601","strigolactone biosynthetic process","BP",0.0107151730444804,"P.acuta","Hawaii"
"6231","GO:1901811","beta-carotene catabolic process","BP",0.0107151730444804,"P.acuta","Hawaii"
"626","GO:0010223","secondary shoot formation","BP",0.00154192821184066,"P.acuta","Hawaii"
"6391","GO:0006777","Mo-molybdopterin cofactor biosynthetic process","BP",6.78686912856205e-06,"P.acuta","Hawaii"
"645","GO:0032447","protein urmylation","BP",1.40663237777805e-06,"P.acuta","Hawaii"
"647","GO:0002143","tRNA wobble position uridine thiolation","BP",5.94164827821657e-07,"P.acuta","Hawaii"
"655","GO:0002098","tRNA wobble uridine modification","BP",7.14533992368456e-05,"P.acuta","Hawaii"
"657","GO:0034227","tRNA thio-modification","BP",1.94212926083165e-06,"P.acuta","Hawaii"
"689","GO:0060484","lung-associated mesenchyme development","BP",0.00246509236783325,"P.acuta","Hawaii"
"715","GO:0071300","cellular response to retinoic acid","BP",0.000395942005033809,"P.acuta","Hawaii"
"7481","GO:0060898","eye field cell fate commitment involved in camera-type eye formation","BP",1.12571887803246e-13,"P.acuta","Hawaii"
"7501","GO:0022002","negative regulation of anterior neural cell fate commitment of the neural plate by Wnt signaling pathway","BP",2.93812276317793e-14,"P.acuta","Hawaii"
"760","GO:0060061","Spemann organizer formation","BP",1.68003318048535e-06,"P.acuta","Hawaii"
"7641","GO:0043049","otic placode formation","BP",2.1918965504747e-11,"P.acuta","Hawaii"
"7661","GO:0009880","embryonic pattern specification","BP",3.25446394235531e-06,"P.acuta","Hawaii"
"7721","GO:0042074","cell migration involved in gastrulation","BP",0.000472723858620893,"P.acuta","Hawaii"
"7741","GO:0032526","response to retinoic acid","BP",0.0177995921356271,"P.acuta","Hawaii"
"778","GO:0008595","anterior/posterior axis specification, embryo","BP",0.00637432013753478,"P.acuta","Hawaii"
"7821","GO:0060070","canonical Wnt signaling pathway","BP",1.01194602850319e-06,"P.acuta","Hawaii"
"7841","GO:0070654","sensory epithelium regeneration","BP",8.32875610895398e-13,"P.acuta","Hawaii"
"788","GO:0048263","determination of dorsal identity","BP",2.94094099642566e-05,"P.acuta","Hawaii"
"792","GO:0021879","forebrain neuron differentiation","BP",5.34921773120506e-11,"P.acuta","Hawaii"
"794","GO:0071679","commissural neuron axon guidance","BP",5.72642301303468e-09,"P.acuta","Hawaii"
"804","GO:0021854","hypothalamus development","BP",5.41801030562243e-09,"P.acuta","Hawaii"
"8661","GO:0090270","regulation of fibroblast growth factor production","BP",1.81449236619426e-05,"P.acuta","Hawaii"
"8691","GO:0021999","neural plate anterior/posterior regionalization","BP",0.00869083157717164,"P.acuta","Hawaii"
"8701","GO:0014034","neural crest cell fate commitment","BP",0.00531165206092975,"P.acuta","Hawaii"
"871","GO:0044335","canonical Wnt signaling pathway involved in neural crest cell differentiation","BP",0.0125097107491336,"P.acuta","Hawaii"
"8731","GO:0000578","embryonic axis specification","BP",0.0211718384388207,"P.acuta","Hawaii"
"8781","GO:2000044","negative regulation of cardiac cell fate specification","BP",0.000483330816954548,"P.acuta","Hawaii"
"8811","GO:0044332","Wnt signaling pathway involved in dorsal/ventral axis specification","BP",0.000482106928453546,"P.acuta","Hawaii"
"882","GO:0060896","neural plate pattern specification","BP",0.00138449948509814,"P.acuta","Hawaii"
"8841","GO:0035284","brain segmentation","BP",0.00365181873454382,"P.acuta","Hawaii"
"886","GO:0021512","spinal cord anterior/posterior patterning","BP",0.000921300878894477,"P.acuta","Hawaii"
"8871","GO:0009948","anterior/posterior axis specification","BP",0.000492541565655093,"P.acuta","Hawaii"
"8921","GO:0007398","ectoderm development","BP",0.00717404380441303,"P.acuta","Hawaii"
"8971","GO:0060823","canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation","BP",0.000482106928453546,"P.acuta","Hawaii"
"8991","GO:2000742","regulation of anterior head development","BP",0.000482106928453546,"P.acuta","Hawaii"
"9011","GO:0014036","neural crest cell fate specification","BP",0.00872639195859515,"P.acuta","Hawaii"
"9051","GO:0060828","regulation of canonical Wnt signaling pathway","BP",0.0380167426947952,"P.acuta","Hawaii"
"9081","GO:0030903","notochord development","BP",0.0277980730093463,"P.acuta","Hawaii"
"914","GO:0001710","mesodermal cell fate commitment","BP",0.0038385440790776,"P.acuta","Hawaii"
"9151","GO:0039015","cell proliferation involved in pronephros development","BP",0.000482106928453546,"P.acuta","Hawaii"
"918","GO:0021871","forebrain regionalization","BP",1.01907437956113e-06,"P.acuta","Hawaii"
"9221","GO:0048864","stem cell development","BP",0.000497131501828626,"P.acuta","Hawaii"
"924","GO:0048812","neuron projection morphogenesis","BP",0.0174803117357237,"P.acuta","Hawaii"
"9261","GO:0032364","oxygen homeostasis","BP",0.00120164767976053,"P.acuta","Hawaii"
"9281","GO:0072207","metanephric epithelium development","BP",0.000233362063141876,"P.acuta","Hawaii"
"9321","GO:0061180","mammary gland epithelium development","BP",0.014041030243432,"P.acuta","Hawaii"
"936","GO:1902262","apoptotic process involved in blood vessel morphogenesis","BP",0.00108074151690627,"P.acuta","Hawaii"
"940","GO:0060428","lung epithelium development","BP",0.00101165808079452,"P.acuta","Hawaii"
"946","GO:0070307","lens fiber cell development","BP",0.000144733004299867,"P.acuta","Hawaii"
"9481","GO:0001944","vasculature development","BP",0.0447740565472265,"P.acuta","Hawaii"
"9501","GO:0060669","embryonic placenta morphogenesis","BP",0.000121111454828216,"P.acuta","Hawaii"
"958","GO:0045879","negative regulation of smoothened signaling pathway","BP",0.00669331672616251,"P.acuta","Hawaii"
"9601","GO:0072053","renal inner medulla development","BP",0.000255547350261298,"P.acuta","Hawaii"
"966","GO:0060425","lung morphogenesis","BP",0.00923662228096457,"P.acuta","Hawaii"
"970","GO:0016332","establishment or maintenance of polarity of embryonic epithelium","BP",0.00105676605792985,"P.acuta","Hawaii"
"9721","GO:0060033","anatomical structure regression","BP",0.000689687560294501,"P.acuta","Hawaii"
"976","GO:0048144","fibroblast proliferation","BP",3.10659727520204e-06,"P.acuta","Hawaii"
"982","GO:0060482","lobar bronchus development","BP",0.000161549166204804,"P.acuta","Hawaii"
"986","GO:0036516","chemoattraction of dopaminergic neuron axon","BP",0.000161549166204804,"P.acuta","Hawaii"
"990","GO:0072054","renal outer medulla development","BP",0.000255547350261298,"P.acuta","Hawaii"
"992","GO:0072060","outer medullary collecting duct development","BP",0.000161549166204804,"P.acuta","Hawaii"
"994","GO:0060710","chorio-allantoic fusion","BP",0.000886501492306699,"P.acuta","Hawaii"
"996","GO:1904938","planar cell polarity pathway involved in axon guidance","BP",0.00316760704269366,"P.acuta","Hawaii"
"998","GO:0060535","trachea cartilage morphogenesis","BP",0.00142969230090098,"P.acuta","Hawaii"
"1000","GO:0003338","metanephros morphogenesis","BP",0.000255547350261298,"P.acuta","Hawaii"
"1004","GO:0072236","metanephric loop of Henle development","BP",0.000161549166204804,"P.acuta","Hawaii"
"1006","GO:0042592","homeostatic process","BP",0.00172973504493701,"P.acuta","Hawaii"
"1008","GO:0051145","smooth muscle cell differentiation","BP",0.00176908462722881,"P.acuta","Hawaii"
"1012","GO:0022009","central nervous system vasculogenesis","BP",0.000668312944415387,"P.acuta","Hawaii"
"1018","GO:0048568","embryonic organ development","BP",0.0107326679939311,"P.acuta","Hawaii"
"1022","GO:0072061","inner medullary collecting duct development","BP",0.000161549166204804,"P.acuta","Hawaii"
"1024","GO:0072205","metanephric collecting duct development","BP",0.000857968297687254,"P.acuta","Hawaii"
"1030","GO:0021846","cell proliferation in forebrain","BP",0.0030714238454511,"P.acuta","Hawaii"
"1032","GO:0032536","regulation of cell projection size","BP",0.000161549166204804,"P.acuta","Hawaii"
"1034","GO:0060560","developmental growth involved in morphogenesis","BP",0.000256749641682124,"P.acuta","Hawaii"
"1038","GO:0072089","stem cell proliferation","BP",0.00200926486393642,"P.acuta","Hawaii"
"1044","GO:0072003","kidney rudiment formation","BP",0.000160121468870164,"P.acuta","Hawaii"
"1060","GO:0072038","mesenchymal stem cell maintenance involved in nephron morphogenesis","BP",0.000966383718874562,"P.acuta","Hawaii"
"1062","GO:0072181","mesonephric duct formation","BP",0.000691930525077698,"P.acuta","Hawaii"
"1080","GO:0072078","nephron tubule morphogenesis","BP",0.000160121468870164,"P.acuta","Hawaii"
"1100","GO:1905438","non-canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation","BP",0.000160121468870164,"P.acuta","Hawaii"
"1108","GO:0072174","metanephric tubule formation","BP",0.00160183020758195,"P.acuta","Hawaii"
"1116","GO:0035150","regulation of tube size","BP",0.000160121468870164,"P.acuta","Hawaii"
"1118","GO:0009267","cellular response to starvation","BP",0.032538201594829,"P.acuta","Hawaii"
"1134","GO:0072164","mesonephric tubule development","BP",0.0188459581303089,"P.acuta","Hawaii"
"1136","GO:0003339","regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis","BP",0.000160121468870164,"P.acuta","Hawaii"
"1140","GO:0030539","male genitalia development","BP",0.0362086708044225,"P.acuta","Hawaii"
"1150","GO:0072046","establishment of planar polarity involved in nephron morphogenesis","BP",0.000160121468870164,"P.acuta","Hawaii"
"1158","GO:1904948","midbrain dopaminergic neuron differentiation","BP",0.0387886992670069,"P.acuta","Hawaii"
"1162","GO:0061303","cornea development in camera-type eye","BP",0.00370656713748952,"P.acuta","Hawaii"
"1172","GO:0009786","regulation of asymmetric cell division","BP",0.00177621754013249,"P.acuta","Hawaii"
"1178","GO:0061038","uterus morphogenesis","BP",0.0141429892145955,"P.acuta","Hawaii"
"1188","GO:0072170","metanephric tubule development","BP",0.00237445383912879,"P.acuta","Hawaii"
"1202","GO:1902455","negative regulation of stem cell population maintenance","BP",0.00351042809630956,"P.acuta","Hawaii"
"1230","GO:0008377","light-induced release of internally sequestered calcium ion","BP",0.0358572945584278,"P.acuta","Hawaii"
"1236","GO:0071482","cellular response to light stimulus","BP",0.016072022795172,"P.acuta","Hawaii"
"1238","GO:1990384","hyaloid vascular plexus regression","BP",0.0198986464693637,"P.acuta","Hawaii"
"1246","GO:0007634","optokinetic behavior","BP",0.00525653665759239,"P.acuta","Hawaii"
"1250","GO:0009584","detection of visible light","BP",0.0376224022910429,"P.acuta","Hawaii"
"1256","GO:0045591","positive regulation of regulatory T cell differentiation","BP",0.0483725526281646,"P.acuta","Hawaii"
"1260","GO:0014737","positive regulation of muscle atrophy","BP",0.0231320814522851,"P.acuta","Hawaii"
"1272","GO:0030277","maintenance of gastrointestinal epithelium","BP",0.0302467196990856,"P.acuta","Hawaii"
"1276","GO:0030149","sphingolipid catabolic process","BP",0.0359909735611762,"P.acuta","Hawaii"
"1278","GO:0007527","adult somatic muscle development","BP",0.030100184259129,"P.acuta","Hawaii"
"1318","GO:1901771","daunorubicin biosynthetic process","BP",0.0136637166653367,"P.acuta","Hawaii"
"1323","GO:0005981","regulation of glycogen catabolic process","BP",0.00396168216789461,"P.acuta","Hawaii"
"1325","GO:0005979","regulation of glycogen biosynthetic process","BP",0.00803382948078879,"P.acuta","Hawaii"
"1385","GO:0035794","positive regulation of mitochondrial membrane permeability","BP",0.049154805592998,"P.acuta","Hawaii"
"1391","GO:0061580","colon epithelial cell migration","BP",0.0304030990212485,"P.acuta","Hawaii"
"1393","GO:0097065","anterior head development","BP",0.0441121894489807,"P.acuta","Hawaii"
"1400","GO:0006784","heme A biosynthetic process","BP",0.000146539974358403,"P.acuta","Hawaii"
"1426","GO:1900246","positive regulation of RIG-I signaling pathway","BP",0.0208144772910165,"P.acuta","Hawaii"
"1428","GO:1900245","positive regulation of MDA-5 signaling pathway","BP",0.0136801024679887,"P.acuta","Hawaii"
"1441","GO:0048680","positive regulation of axon regeneration","BP",0.000957981725101895,"P.acuta","Hawaii"
"1466","GO:0008045","motor neuron axon guidance","BP",0.0226791379840105,"P.acuta","Hawaii"
"1579","GO:0017004","cytochrome complex assembly","BP",0.0267758924790538,"P.acuta","Hawaii"
"1585","GO:0048034","heme O biosynthetic process","BP",0.0121159126846026,"P.acuta","Hawaii"
"1589","GO:0050652","dermatan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process","BP",0.0386789776511101,"P.acuta","Hawaii"
"1590","GO:0009228","thiamine biosynthetic process","BP",0.00197858068073004,"P.acuta","Hawaii"
"1639","GO:0051304","chromosome separation","BP",0.0303780237952776,"P.acuta","Hawaii"
"1644","GO:0006826","iron ion transport","BP",0.00531927447033517,"P.acuta","Hawaii"
"1655","GO:0007374","posterior midgut invagination","BP",0.0291489358795781,"P.acuta","Hawaii"
"1656","GO:0030589","pseudocleavage involved in syncytial blastoderm formation","BP",0.0336620283005355,"P.acuta","Hawaii"
"1659","GO:0110020","regulation of actomyosin structure organization","BP",0.0336620283005355,"P.acuta","Hawaii"
"1660","GO:0070252","actin-mediated cell contraction","BP",0.0413283222353327,"P.acuta","Hawaii"
"1661","GO:0007377","germ-band extension","BP",0.0291489358795781,"P.acuta","Hawaii"
"1663","GO:0046663","dorsal closure, leading edge cell differentiation","BP",0.0445538266842703,"P.acuta","Hawaii"
"1664","GO:0035277","spiracle morphogenesis, open tracheal system","BP",0.0445538266842703,"P.acuta","Hawaii"
"1667","GO:0035298","regulation of Malpighian tubule size","BP",0.0291489358795781,"P.acuta","Hawaii"
"1682","GO:0048653","anther development","BP",0.0486299555068394,"P.acuta","Hawaii"
"1684","GO:0010363","regulation of plant-type hypersensitive response","BP",0.04395593933585,"P.acuta","Hawaii"
"1687","GO:0090548","response to nitrate starvation","BP",0.04395593933585,"P.acuta","Hawaii"
"1711","GO:0032274","gonadotropin secretion","BP",0.0164081358914487,"P.acuta","Hawaii"
"1713","GO:0044029","hypomethylation of CpG island","BP",0.0274934822268572,"P.acuta","Hawaii"
"1717","GO:0060702","negative regulation of endoribonuclease activity","BP",0.0415733672585028,"P.acuta","Hawaii"
"1732","GO:1905485","positive regulation of motor neuron migration","BP",0.00143963816878163,"P.acuta","Hawaii"
"1766","GO:0060573","cell fate specification involved in pattern specification","BP",0.00153172418158048,"P.acuta","Hawaii"
"1776","GO:0010084","specification of animal organ axis polarity","BP",0.000491366972850093,"P.acuta","Hawaii"
"1786","GO:0033564","anterior/posterior axon guidance","BP",0.0150187602967386,"P.acuta","Hawaii"
"1806","GO:0097402","neuroblast migration","BP",0.0045523933599727,"P.acuta","Hawaii"
"1810","GO:1904937","sensory neuron migration","BP",0.00271277436068939,"P.acuta","Hawaii"
"1816","GO:1904936","interneuron migration","BP",0.000976047073869799,"P.acuta","Hawaii"
"1822","GO:0097475","motor neuron migration","BP",0.00215574674994277,"P.acuta","Hawaii"
"1832","GO:0040025","vulval development","BP",0.0159285439828567,"P.acuta","Hawaii"
"2094","GO:1905088","positive regulation of synaptonemal complex assembly","BP",0.0154674056650274,"P.acuta","Hawaii"
"2098","GO:0061060","negative regulation of peptidoglycan recognition protein signaling pathway","BP",0.0466515256777424,"P.acuta","Hawaii"
"2100","GO:0002785","negative regulation of antimicrobial peptide production","BP",0.0196552612879566,"P.acuta","Hawaii"
"2105","GO:0010236","plastoquinone biosynthetic process","BP",0.0118465225868272,"P.acuta","Hawaii"
"2161","GO:1902669","positive regulation of axon guidance","BP",0.00620460935907631,"P.acuta","Hawaii"
"2167","GO:0010540","basipetal auxin transport","BP",0.0256780054011294,"P.acuta","Hawaii"
"2168","GO:0090333","regulation of stomatal closure","BP",0.0418009395303387,"P.acuta","Hawaii"
"2186","GO:0006535","cysteine biosynthetic process from serine","BP",0.0472893109288996,"P.acuta","Hawaii"
"2204","GO:0006667","sphinganine metabolic process","BP",0.0130922455878679,"P.acuta","Hawaii"
"2210","GO:1903852","positive regulation of cristae formation","BP",0.0452881878704508,"P.acuta","Hawaii"
"1101","GO:0051225","spindle assembly","BP",0.01120444,"P.lobata","Hawaii"
"224","GO:0007052","mitotic spindle organization","BP",0.028261158,"P.lobata","Hawaii"
"318","GO:0018105","peptidyl-serine phosphorylation","BP",0.020122829,"P.lobata","Hawaii"
"425","GO:1904743","negative regulation of telomeric DNA binding","BP",0.039470849,"P.lobata","Hawaii"
"56","GO:0045944","positive regulation of transcription by RNA polymerase II","BP",0.044572701,"P.lobata","Hawaii"
"1411","GO:0009949","polarity specification of anterior/posterior axis","BP",0.021991989,"P.lobata","Hawaii"
"1511","GO:0044335","canonical Wnt signaling pathway involved in neural crest cell differentiation","BP",0.041911897,"P.lobata","Hawaii"
"1611","GO:0035282","segmentation","BP",0.038262148,"P.lobata","Hawaii"
"1714","GO:2000044","negative regulation of cardiac cell fate specification","BP",0.014964977,"P.lobata","Hawaii"
"1812","GO:0048561","establishment of animal organ orientation","BP",0.014964977,"P.lobata","Hawaii"
"1913","GO:0040011","locomotion","BP",0.012369884,"P.lobata","Hawaii"
"2110","GO:0001654","eye development","BP",0.001623067,"P.lobata","Hawaii"
"2211","GO:0060061","Spemann organizer formation","BP",0.03872187,"P.lobata","Hawaii"
"237","GO:0060788","ectodermal placode formation","BP",0.038352051,"P.lobata","Hawaii"
"2411","GO:0010085","polarity specification of proximal/distal axis","BP",0.023970554,"P.lobata","Hawaii"
"2611","GO:0000578","embryonic axis specification","BP",0.03784146,"P.lobata","Hawaii"
"289","GO:0061317","canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment","BP",0.014964977,"P.lobata","Hawaii"
"299","GO:0062009","secondary palate development","BP",0.029755393,"P.lobata","Hawaii"
"3011","GO:0021999","neural plate anterior/posterior regionalization","BP",0.02861052,"P.lobata","Hawaii"
"3110","GO:0040012","regulation of locomotion","BP",0.008186208,"P.lobata","Hawaii"
"3210","GO:0006491","N-glycan processing","BP",0.039878479,"P.lobata","Hawaii"
