Orthogroup	GCF_002042975.1_ofav_dov_v1_protein	Mcavernosa.maker.proteins
OG0008274	XP_020601008.1	Mcavernosa30948-RA
OG0008275	XP_020612884.1	Mcavernosa14617-RA
OG0008276	XP_020601382.1, XP_020601383.1	Mcavernosa11774-RA
OG0008277	XP_020601385.1, XP_020601386.1	Mcavernosa11776-RA, Mcavernosa11779-RA
OG0008278	XP_020607318.1	Mcavernosa03356-RA
OG0008279	XP_020607293.1	Mcavernosa03377-RA
OG0008280	XP_020610983.1	Mcavernosa11547-RA
OG0008281	XP_020610942.1	Mcavernosa11539-RA
OG0008283	XP_020625517.1, XP_020625586.1	Mcavernosa31228-RA
OG0008284	XP_020603726.1	Mcavernosa07640-RA, Mcavernosa07641-RA
OG0008285	XP_020629932.1	Mcavernosa24161-RA, Mcavernosa28014-RA
OG0008286	XP_020629852.1	Mcavernosa24164-RA
OG0008287	XP_020601669.1	Mcavernosa24158-RA
OG0008288	XP_020601736.1	Mcavernosa24157-RA
OG0008290	XP_020629231.1	Mcavernosa01532-RA
OG0008291	XP_020629242.1, XP_020629241.1	Mcavernosa01534-RA
OG0008292	XP_020629225.1, XP_020629226.1	Mcavernosa01529-RA
OG0008293	XP_020629210.1, XP_020629211.1	Mcavernosa01527-RA
OG0008294	XP_020629221.1, XP_020629222.1	Mcavernosa01519-RA
OG0008295	XP_020629240.1	Mcavernosa01536-RA
OG0008296	XP_020630806.1	Mcavernosa17235-RA, Mcavernosa17234-RA
OG0008297	XP_020614598.1, XP_020614597.1	Mcavernosa18783-RA
OG0008298	XP_020628912.1	Mcavernosa19676-RA
OG0008299	XP_020600751.1	Mcavernosa12424-RA
OG0008300	XP_020600764.1, XP_020600766.1	Mcavernosa12429-RA
OG0008301	XP_020608229.1	Mcavernosa25582-RA
OG0008302	XP_020618340.1, XP_020618339.1	Mcavernosa24634-RA
OG0008303	XP_020618292.1	Mcavernosa24633-RA
OG0008304	XP_020618155.1	Mcavernosa24629-RA
OG0008305	XP_020618290.1, XP_020618157.1	Mcavernosa24628-RA
OG0008306	XP_020615338.1	Mcavernosa26224-RA, Mcavernosa30350-RA
OG0008307	XP_020606773.1, XP_020606849.1	Mcavernosa03560-RA
OG0008308	XP_020628143.1, XP_020628144.1	Mcavernosa05076-RA
OG0008309	XP_020624941.1, XP_020624940.1	Mcavernosa07362-RA
OG0008310	XP_020608275.1	Mcavernosa19313-RA
OG0008311	XP_020602175.1	Mcavernosa01891-RA
OG0008312	XP_020609851.1	Mcavernosa10109-RA
OG0008313	XP_020609853.1	Mcavernosa10112-RA
OG0008314	XP_020609850.1	Mcavernosa10103-RA
OG0008315	XP_020609872.1	Mcavernosa10105-RA
OG0008316	XP_020629109.1, XP_020629116.1	Mcavernosa09040-RA
OG0008317	XP_020603089.1, XP_020603088.1	Mcavernosa17313-RA
OG0008318	XP_020620304.1	Mcavernosa17305-RA
OG0008319	XP_020625513.1, XP_020625514.1	Mcavernosa08610-RA
OG0008320	XP_020624120.1	Mcavernosa32041-RA
OG0008321	XP_020630456.1	Mcavernosa11659-RA
OG0008322	XP_020630459.1, XP_020630458.1	Mcavernosa11663-RA
OG0008323	XP_020630539.1	Mcavernosa11664-RA
OG0008324	XP_020625367.1	Mcavernosa29334-RA, Mcavernosa35037-RA
OG0008327	XP_020621974.1	Mcavernosa19651-RA
OG0008328	XP_020622060.1	Mcavernosa19649-RA
OG0008329	XP_020625668.1	Mcavernosa20083-RA
OG0008330	XP_020623783.1	Mcavernosa27713-RA, Mcavernosa27711-RA
OG0008331	XP_020621969.1	Mcavernosa19650-RA
OG0008332	XP_020602987.1	Mcavernosa04642-RA
OG0008333	XP_020603381.1	Mcavernosa04636-RA
OG0008335	XP_020614920.1, XP_020614911.1	Mcavernosa32373-RA
OG0008336	XP_020613337.1	Mcavernosa25883-RA, Mcavernosa25880-RA
OG0008337	XP_020613340.1	Mcavernosa32377-RA, Mcavernosa32381-RA
OG0008338	XP_020613341.1, XP_020613342.1	Mcavernosa32384-RA
OG0008340	XP_020616931.1	Mcavernosa04169-RA
OG0008341	XP_020608978.1	Mcavernosa19213-RA
OG0008342	XP_020627913.1	Mcavernosa21447-RA
OG0008343	XP_020627930.1	Mcavernosa21449-RA
OG0008344	XP_020619870.1, XP_020619871.1	Mcavernosa02176-RA
OG0008345	XP_020607747.1	Mcavernosa15636-RA
OG0008346	XP_020627965.1	Mcavernosa11608-RA
OG0008347	XP_020613782.1	Mcavernosa27936-RA
OG0008348	XP_020613850.1	Mcavernosa27923-RA
OG0008349	XP_020613519.1, XP_020613518.1	Mcavernosa27935-RA
OG0008350	XP_020613694.1	Mcavernosa19240-RA, Mcavernosa19241-RA
OG0008352	XP_020617958.1	Mcavernosa26866-RA
OG0008353	XP_020622329.1, XP_020622336.1	Mcavernosa32931-RA
OG0008354	XP_020625675.1	Mcavernosa18908-RA
OG0008355	XP_020622675.1	Mcavernosa05555-RA
OG0008357	XP_020627945.1	Mcavernosa23010-RA, Mcavernosa23007-RA
OG0008358	XP_020627914.1	Mcavernosa23011-RA, Mcavernosa23012-RA
OG0008359	XP_020604758.1	Mcavernosa06121-RA
OG0008361	XP_020622893.1, XP_020622894.1, XP_020622895.1	Mcavernosa06928-RA
OG0008362	XP_020622796.1	Mcavernosa06926-RA
OG0008363	XP_020622760.1	Mcavernosa30363-RA, Mcavernosa30365-RA
OG0008364	XP_020629329.1	Mcavernosa05637-RA, Mcavernosa05630-RA
OG0008365	XP_020611735.1	Mcavernosa05631-RA, Mcavernosa05635-RA
OG0008366	XP_020619505.1	Mcavernosa07500-RA
OG0008368	XP_020607996.1	Mcavernosa10817-RA
OG0008369	XP_020601142.1	Mcavernosa20685-RA
OG0008370	XP_020601344.1, XP_020601051.1	Mcavernosa20689-RA
OG0008371	XP_020620497.1	Mcavernosa23272-RA
OG0008372	XP_020609595.1	Mcavernosa28516-RA
OG0008373	XP_020627370.1	Mcavernosa18294-RA
OG0008376	XP_020606061.1	Mcavernosa28427-RA
OG0008377	XP_020613417.1	Mcavernosa25281-RA
OG0008379	XP_020609331.1, XP_020609332.1	Mcavernosa08749-RA
OG0008380	XP_020609324.1, XP_020609325.1	Mcavernosa08759-RA
OG0008381	XP_020603652.1	Mcavernosa17952-RA
OG0008383	XP_020627198.1, XP_020627199.1	Mcavernosa26477-RA
OG0008384	XP_020627202.1	Mcavernosa26479-RA
OG0008385	XP_020614458.1	Mcavernosa23433-RA, Mcavernosa33807-RA
OG0008387	XP_020626063.1	Mcavernosa03886-RA
OG0008388	XP_020603902.1	Mcavernosa09022-RA, Mcavernosa09023-RA
OG0008389	XP_020603859.1, XP_020603847.1	Mcavernosa09024-RA
OG0008390	XP_020626167.1	Mcavernosa03912-RA
OG0008391	XP_020621744.1	Mcavernosa21701-RA, Mcavernosa21705-RA
OG0008392	XP_020618599.1	Mcavernosa10041-RA
OG0008393	XP_020618664.1	Mcavernosa10037-RA
OG0008394	XP_020618602.1	Mcavernosa10038-RA
OG0008395	XP_020602314.1	Mcavernosa14333-RA
OG0008396	XP_020603713.1	Mcavernosa27540-RA, Mcavernosa29054-RA
OG0008397	XP_020610568.1, XP_020610589.1	Mcavernosa10262-RA
OG0008398	XP_020606734.1, XP_020606732.1	Mcavernosa03557-RA
OG0008399	XP_020606790.1	Mcavernosa30466-RA
OG0008400	XP_020611406.1	Mcavernosa02268-RA
OG0008402	XP_020625992.1	Mcavernosa04897-RA
OG0008403	XP_020608761.1, XP_020608762.1	Mcavernosa10915-RA
OG0008405	XP_020616614.1	Mcavernosa13059-RA
OG0008406	XP_020616522.1	Mcavernosa13045-RA
OG0008407	XP_020620158.1	Mcavernosa15415-RA
OG0008408	XP_020625414.1	Mcavernosa13681-RA, Mcavernosa13682-RA
OG0008409	XP_020616357.1	Mcavernosa14388-RA
OG0008410	XP_020630175.1	Mcavernosa03853-RA
OG0008411	XP_020630118.1	Mcavernosa03827-RA
OG0008412	XP_020630154.1, XP_020630153.1	Mcavernosa27228-RA, Mcavernosa03833-RA
OG0008413	XP_020630123.1	Mcavernosa03826-RA
OG0008414	XP_020620790.1	Mcavernosa01992-RA
OG0008415	XP_020624186.1	Mcavernosa00275-RA
OG0008416	XP_020623655.1	Mcavernosa00276-RA
OG0008417	XP_020615711.1, XP_020615712.1	Mcavernosa09947-RA
OG0008418	XP_020622741.1	Mcavernosa06883-RA
OG0008419	XP_020608019.1, XP_020625819.1	Mcavernosa09542-RA
OG0008420	XP_020631980.1	Mcavernosa02559-RA
OG0008421	XP_020607951.1	Mcavernosa02579-RA, Mcavernosa02573-RA
OG0008422	XP_020608020.1	Mcavernosa02567-RA
OG0008423	XP_020607953.1	Mcavernosa35122-RA
OG0008424	XP_020608014.1	Mcavernosa02562-RA
OG0008425	XP_020625451.1, XP_020625459.1	Mcavernosa02276-RA, Mcavernosa02275-RA
OG0008426	XP_020608083.1, XP_020608084.1	Mcavernosa28682-RA
OG0008427	XP_020608865.1	Mcavernosa32108-RA
OG0008428	XP_020613726.1	Mcavernosa09100-RA, Mcavernosa09099-RA
OG0008429	XP_020617242.1	Mcavernosa09390-RA
OG0008430	XP_020603620.1	Mcavernosa23625-RA
OG0008431	XP_020603618.1, XP_020603619.1	Mcavernosa23624-RA
OG0008432	XP_020608609.1	Mcavernosa12177-RA
OG0008433	XP_020604381.1	Mcavernosa28572-RA
OG0008434	XP_020604257.1, XP_020604379.1	Mcavernosa28569-RA
OG0008435	XP_020604382.1	Mcavernosa28574-RA
OG0008436	XP_020618241.1	Mcavernosa19644-RA
OG0008438	XP_020630394.1	Mcavernosa19405-RA
OG0008439	XP_020621023.1	Mcavernosa31659-RA
OG0008442	XP_020629903.1	Mcavernosa06504-RA
OG0008443	XP_020629880.1, XP_020629879.1	Mcavernosa06508-RA
OG0008444	XP_020603579.1, XP_020603572.1	Mcavernosa10763-RA
OG0008445	XP_020626417.1	Mcavernosa05923-RA
OG0008446	XP_020626122.1	Mcavernosa03900-RA
OG0008447	XP_020626121.1	Mcavernosa03901-RA
OG0008448	XP_020628720.1	Mcavernosa11290-RA
OG0008449	XP_020628672.1	Mcavernosa11282-RA
OG0008450	XP_020611536.1	Mcavernosa00199-RA
OG0008451	XP_020611587.1	Mcavernosa30447-RA
OG0008452	XP_020611549.1	Mcavernosa30446-RA
OG0008453	XP_020620949.1	Mcavernosa11092-RA
OG0008454	XP_020602867.1	Mcavernosa00047-RA, Mcavernosa02453-RA
OG0008455	XP_020631365.1, XP_020602564.1	Mcavernosa02455-RA
OG0008456	XP_020620940.1	Mcavernosa31660-RA
OG0008457	XP_020631051.1	Mcavernosa32772-RA, Mcavernosa02437-RA
OG0008459	XP_020630837.1	Mcavernosa02434-RA
OG0008461	XP_020602441.1	Mcavernosa18402-RA
OG0008462	XP_020611303.1	Mcavernosa05695-RA
OG0008463	XP_020611307.1	Mcavernosa05687-RA
OG0008464	XP_020603142.1, XP_020603143.1	Mcavernosa06459-RA
OG0008465	XP_020629803.1, XP_020629801.1	Mcavernosa01372-RA
OG0008466	XP_020629858.1, XP_020629857.1	Mcavernosa09111-RA
OG0008467	XP_020621078.1	Mcavernosa01882-RA
OG0008468	XP_020628795.1	Mcavernosa22315-RA
OG0008469	XP_020617298.1, XP_020617299.1	Mcavernosa09073-RA
OG0008470	XP_020632933.1	Mcavernosa11346-RA, Mcavernosa11342-RA
OG0008471	XP_020607658.1, XP_020607656.1	Mcavernosa22688-RA
OG0008473	XP_020603312.1	Mcavernosa30256-RA
OG0008474	XP_020619375.1	Mcavernosa31734-RA
OG0008475	XP_020615009.1	Mcavernosa13181-RA
OG0008476	XP_020626464.1	Mcavernosa02795-RA
OG0008477	XP_020627385.1, XP_020627387.1	Mcavernosa02799-RA
OG0008478	XP_020626459.1	Mcavernosa02791-RA
OG0008479	XP_020612028.1	Mcavernosa12280-RA
OG0008480	XP_020618604.1	Mcavernosa10910-RA
OG0008481	XP_020618666.1	Mcavernosa22427-RA
OG0008482	XP_020618684.1	Mcavernosa22423-RA
OG0008483	XP_020625089.1	Mcavernosa00161-RA
OG0008484	XP_020619601.1	Mcavernosa15855-RA
OG0008485	XP_020624240.1	Mcavernosa08777-RA
OG0008486	XP_020606156.1	Mcavernosa29938-RA
OG0008487	XP_020622032.1, XP_020622031.1	Mcavernosa22238-RA
OG0008488	XP_020627810.1	Mcavernosa27419-RA
OG0008489	XP_020627795.1, XP_020627794.1	Mcavernosa27420-RA
OG0008490	XP_020616046.1, XP_020616045.1	Mcavernosa04832-RA
OG0008491	XP_020630694.1	Mcavernosa08351-RA
OG0008492	XP_020630634.1	Mcavernosa08355-RA
OG0008493	XP_020630635.1	Mcavernosa08352-RA
OG0008494	XP_020606900.1	Mcavernosa02696-RA
OG0008495	XP_020628724.1	Mcavernosa14776-RA
OG0008497	XP_020602112.1	Mcavernosa26354-RA, Mcavernosa26357-RA
OG0008498	XP_020617192.1	Mcavernosa22967-RA
OG0008499	XP_020611547.1	Mcavernosa11446-RA
OG0008500	XP_020611491.1, XP_020611492.1	Mcavernosa11445-RA
OG0008501	XP_020630501.1, XP_020630509.1	Mcavernosa19275-RA
OG0008503	XP_020604414.1	Mcavernosa01120-RA
OG0008507	XP_020628152.1, XP_020628151.1	Mcavernosa05212-RA
OG0008508	XP_020617189.1, XP_020617188.1	Mcavernosa05712-RA
OG0008509	XP_020604767.1	Mcavernosa19910-RA
OG0008510	XP_020603456.1, XP_020603457.1	Mcavernosa00046-RA
OG0008511	XP_020621601.1, XP_020621602.1	Mcavernosa18250-RA
OG0008512	XP_020621630.1	Mcavernosa06355-RA, Mcavernosa06351-RA
OG0008513	XP_020621606.1	Mcavernosa06350-RA
OG0008514	XP_020621632.1	Mcavernosa06354-RA, Mcavernosa06356-RA
OG0008515	XP_020612263.1	Mcavernosa03875-RA
OG0008516	XP_020618845.1	Mcavernosa20919-RA
OG0008517	XP_020605212.1	Mcavernosa14342-RA
OG0008518	XP_020626090.1	Mcavernosa15922-RA
OG0008519	XP_020611739.1	Mcavernosa14299-RA
OG0008520	XP_020623165.1, XP_020623220.1	Mcavernosa31127-RA
OG0008522	XP_020629084.1	Mcavernosa27847-RA
OG0008524	XP_020601819.1	Mcavernosa18641-RA, Mcavernosa18640-RA
OG0008526	XP_020627297.1	Mcavernosa11512-RA
OG0008527	XP_020630891.1	Mcavernosa04042-RA
OG0008529	XP_020605131.1, XP_020605150.1	Mcavernosa30802-RA
OG0008530	XP_020611654.1, XP_020611680.1	Mcavernosa01988-RA
OG0008531	XP_020611679.1	Mcavernosa33318-RA
OG0008532	XP_020611639.1	Mcavernosa01991-RA
OG0008533	XP_020609687.1	Mcavernosa03788-RA
OG0008534	XP_020623371.1, XP_020623372.1	Mcavernosa16496-RA
OG0008535	XP_020623369.1	Mcavernosa16494-RA
OG0008536	XP_020601285.1	Mcavernosa03777-RA
OG0008538	XP_020609649.1	Mcavernosa03783-RA
OG0008539	XP_020609764.1, XP_020609734.1	Mcavernosa17193-RA
OG0008540	XP_020609743.1	Mcavernosa17173-RA, Mcavernosa17178-RA
OG0008541	XP_020609742.1	Mcavernosa17171-RA, Mcavernosa17172-RA
OG0008542	XP_020626611.1, XP_020626610.1	Mcavernosa19380-RA
OG0008543	XP_020621682.1	Mcavernosa05735-RA, Mcavernosa05736-RA
OG0008544	XP_020608417.1, XP_020608418.1, XP_020608334.1	Mcavernosa31525-RA
OG0008545	XP_020608356.1	Mcavernosa31539-RA
OG0008546	XP_020629848.1	Mcavernosa06529-RA
OG0008547	XP_020629796.1	Mcavernosa06524-RA
OG0008548	XP_020603998.1	Mcavernosa06777-RA
OG0008549	XP_020609905.1	Mcavernosa10698-RA
OG0008550	XP_020615847.1, XP_020625322.1	Mcavernosa30741-RA
OG0008551	XP_020616799.1	Mcavernosa01286-RA
OG0008553	XP_020627848.1, XP_020627849.1	Mcavernosa19231-RA
OG0008554	XP_020604622.1	Mcavernosa28457-RA
OG0008555	XP_020623302.1	Mcavernosa03676-RA
OG0008556	XP_020619518.1	Mcavernosa04608-RA
OG0008557	XP_020619502.1	Mcavernosa04605-RA
OG0008558	XP_020619403.1	Mcavernosa07492-RA
OG0008559	XP_020622333.1	Mcavernosa01096-RA
OG0008560	XP_020622332.1	Mcavernosa01097-RA
OG0008561	XP_020622335.1	Mcavernosa01095-RA
OG0008562	XP_020601251.1	Mcavernosa01250-RA
OG0008564	XP_020631692.1	Mcavernosa18707-RA
OG0008565	XP_020609494.1, XP_020609493.1	Mcavernosa03044-RA
OG0008566	XP_020617404.1	Mcavernosa18876-RA
OG0008567	XP_020602600.1	Mcavernosa11209-RA
OG0008568	XP_020608117.1, XP_020608109.1	Mcavernosa18359-RA
OG0008570	XP_020608263.1, XP_020608262.1	Mcavernosa19311-RA
OG0008571	XP_020608312.1	Mcavernosa19312-RA
OG0008572	XP_020608272.1	Mcavernosa19315-RA, Mcavernosa19314-RA
OG0008573	XP_020608273.1, XP_020608274.1	Mcavernosa19317-RA
OG0008574	XP_020608313.1	Mcavernosa19321-RA
OG0008575	XP_020606649.1	Mcavernosa13319-RA
OG0008576	XP_020632554.1	Mcavernosa02364-RA
OG0008577	XP_020614300.1	Mcavernosa25623-RA
OG0008578	XP_020613495.1, XP_020613494.1	Mcavernosa07769-RA
OG0008579	XP_020613403.1, XP_020613404.1	Mcavernosa07768-RA
OG0008580	XP_020613365.1	Mcavernosa07765-RA
OG0008581	XP_020628406.1	Mcavernosa14004-RA
OG0008582	XP_020600826.1	Mcavernosa03170-RA, Mcavernosa03172-RA
OG0008583	XP_020603153.1, XP_020603152.1	Mcavernosa03178-RA
OG0008584	XP_020603169.1	Mcavernosa03177-RA
OG0008585	XP_020600827.1	Mcavernosa03166-RA
OG0008586	XP_020600908.1	Mcavernosa32131-RA
OG0008587	XP_020628267.1	Mcavernosa11555-RA
OG0008588	XP_020603922.1	Mcavernosa32065-RA, Mcavernosa27743-RA
OG0008589	XP_020603926.1	Mcavernosa32068-RA
OG0008590	XP_020612554.1	Mcavernosa03112-RA
OG0008591	XP_020612525.1	Mcavernosa03110-RA
OG0008592	XP_020604124.1	Mcavernosa12707-RA
OG0008593	XP_020626725.1	Mcavernosa04395-RA, Mcavernosa04398-RA
OG0008594	XP_020626684.1, XP_020626683.1	Mcavernosa04392-RA
OG0008595	XP_020619241.1	Mcavernosa21136-RA
OG0008596	XP_020626596.1	Mcavernosa25807-RA
OG0008597	XP_020607792.1	Mcavernosa15722-RA
OG0008598	XP_020608571.1	Mcavernosa18163-RA
OG0008599	XP_020630033.1	Mcavernosa00562-RA
OG0008602	XP_020623231.1, XP_020606037.1	Mcavernosa35200-RA
OG0008603	XP_020621940.1	Mcavernosa15938-RA, Mcavernosa15936-RA
OG0008604	XP_020625637.1	Mcavernosa18210-RA, Mcavernosa18215-RA
OG0008605	XP_020621941.1	Mcavernosa15932-RA
OG0008606	XP_020611720.1, XP_020611719.1	Mcavernosa21752-RA
OG0008607	XP_020611726.1, XP_020630042.1	Mcavernosa21751-RA
OG0008611	XP_020623770.1	Mcavernosa09407-RA
OG0008612	XP_020625661.1	Mcavernosa18214-RA
OG0008613	XP_020625655.1, XP_020625641.1	Mcavernosa18204-RA
OG0008614	XP_020625639.1	Mcavernosa18207-RA
OG0008615	XP_020625658.1, XP_020625644.1	Mcavernosa18208-RA
OG0008616	XP_020627507.1, XP_020627508.1	Mcavernosa13573-RA
OG0008617	XP_020602505.1	Mcavernosa31933-RA
OG0008618	XP_020610295.1	Mcavernosa18570-RA
OG0008619	XP_020611494.1	Mcavernosa11443-RA
OG0008620	XP_020615520.1	Mcavernosa06784-RA
OG0008621	XP_020615519.1	Mcavernosa06783-RA
OG0008622	XP_020615550.1	Mcavernosa14265-RA
OG0008623	XP_020615547.1, XP_020615548.1	Mcavernosa14263-RA
OG0008625	XP_020606385.1	Mcavernosa28778-RA
OG0008627	XP_020606371.1, XP_020606375.1	Mcavernosa28784-RA
OG0008629	XP_020607013.1	Mcavernosa09132-RA, Mcavernosa09134-RA
OG0008630	XP_020616673.1, XP_020616674.1	Mcavernosa09157-RA
OG0008631	XP_020606945.1, XP_020606946.1	Mcavernosa02698-RA
OG0008632	XP_020606947.1, XP_020606950.1	Mcavernosa02699-RA
OG0008633	XP_020607102.1, XP_020607103.1	Mcavernosa00118-RA
OG0008634	XP_020600504.1	Mcavernosa14228-RA
OG0008635	XP_020600466.1	Mcavernosa14223-RA
OG0008636	XP_020600508.1, XP_020600509.1	Mcavernosa14233-RA
OG0008637	XP_020600428.1, XP_020600427.1	Mcavernosa14217-RA
OG0008638	XP_020628155.1, XP_020628055.1	Mcavernosa20537-RA
OG0008639	XP_020628072.1	Mcavernosa02165-RA
OG0008640	XP_020604237.1	Mcavernosa25195-RA
OG0008641	XP_020604793.1	Mcavernosa27441-RA, Mcavernosa27444-RA, Mcavernosa33212-RA
OG0008642	XP_020631610.1	Mcavernosa29477-RA
OG0008643	XP_020629906.1	Mcavernosa21002-RA
OG0008644	XP_020614443.1	Mcavernosa21007-RA
OG0008645	XP_020614454.1, XP_020614482.1	Mcavernosa21012-RA
OG0008646	XP_020614446.1	Mcavernosa21004-RA, Mcavernosa21005-RA
OG0008647	XP_020614414.1	Mcavernosa05459-RA
OG0008648	XP_020628986.1, XP_020628987.1	Mcavernosa05479-RA
OG0008649	XP_020620074.1	Mcavernosa27466-RA, Mcavernosa27462-RA
OG0008650	XP_020620101.1	Mcavernosa25959-RA
OG0008651	XP_020622001.1	Mcavernosa04917-RA
OG0008652	XP_020620132.1, XP_020620133.1	Mcavernosa25960-RA
OG0008653	XP_020620183.1	Mcavernosa25964-RA
OG0008655	XP_020620168.1	Mcavernosa27461-RA
OG0008657	XP_020620147.1	Mcavernosa04710-RA
OG0008658	XP_020602693.1	Mcavernosa11203-RA
OG0008659	XP_020602698.1	Mcavernosa11196-RA, Mcavernosa11200-RA
OG0008660	XP_020607090.1	Mcavernosa32039-RA
OG0008661	XP_020606480.1	Mcavernosa15470-RA
OG0008662	XP_020604930.1	Mcavernosa16929-RA
OG0008663	XP_020620134.1	Mcavernosa06654-RA
OG0008664	XP_020623318.1, XP_020623281.1	Mcavernosa03658-RA
OG0008666	XP_020604096.1	Mcavernosa25644-RA
OG0008667	XP_020626892.1	Mcavernosa24976-RA
OG0008668	XP_020624958.1, XP_020624029.1	Mcavernosa06219-RA
OG0008669	XP_020622856.1, XP_020622857.1	Mcavernosa06900-RA
OG0008670	XP_020622858.1	Mcavernosa06906-RA, Mcavernosa06908-RA
OG0008671	XP_020629364.1	Mcavernosa23583-RA
OG0008672	XP_020629331.1	Mcavernosa27789-RA
OG0008673	XP_020616140.1	Mcavernosa19889-RA
OG0008674	XP_020608501.1, XP_020608503.1	Mcavernosa20102-RA
OG0008676	XP_020622272.1, XP_020622275.1	Mcavernosa25410-RA
OG0008677	XP_020616182.1, XP_020616181.1	Mcavernosa19884-RA
OG0008678	XP_020622406.1, XP_020622407.1	Mcavernosa17544-RA
OG0008679	XP_020606209.1	Mcavernosa18002-RA
OG0008680	XP_020606210.1, XP_020606211.1	Mcavernosa18003-RA
OG0008681	XP_020606207.1, XP_020606208.1	Mcavernosa17998-RA
OG0008682	XP_020609169.1	Mcavernosa09266-RA
OG0008683	XP_020609461.1	Mcavernosa03062-RA, Mcavernosa03059-RA
OG0008684	XP_020609432.1, XP_020609473.1	Mcavernosa18713-RA
OG0008685	XP_020605450.1	Mcavernosa18721-RA
OG0008686	XP_020609460.1, XP_020609459.1	Mcavernosa03054-RA
OG0008687	XP_020608387.1	Mcavernosa12943-RA
OG0008688	XP_020610588.1	Mcavernosa11302-RA
OG0008689	XP_020622937.1	Mcavernosa32011-RA
OG0008690	XP_020604055.1, XP_020604043.1	Mcavernosa08288-RA
OG0008691	XP_020604116.1	Mcavernosa08291-RA
OG0008692	XP_020601108.1	Mcavernosa28254-RA
OG0008693	XP_020601214.1, XP_020601212.1	Mcavernosa28253-RA
OG0008695	XP_020613695.1	Mcavernosa19235-RA
OG0008696	XP_020624312.1, XP_020624313.1	Mcavernosa28828-RA
OG0008697	XP_020624329.1, XP_020624328.1	Mcavernosa28825-RA
OG0008698	XP_020624316.1	Mcavernosa28824-RA
OG0008699	XP_020607393.1	Mcavernosa01601-RA
OG0008700	XP_020611184.1	Mcavernosa11324-RA
OG0008701	XP_020611192.1, XP_020610860.1	Mcavernosa11322-RA
OG0008702	XP_020611226.1	Mcavernosa11313-RA
OG0008703	XP_020611179.1, XP_020611180.1	Mcavernosa07709-RA
OG0008704	XP_020611149.1, XP_020611148.1	Mcavernosa07671-RA
OG0008705	XP_020611130.1	Mcavernosa07679-RA
OG0008706	XP_020611170.1, XP_020611169.1	Mcavernosa07675-RA
OG0008707	XP_020611178.1, XP_020611177.1	Mcavernosa07688-RA
OG0008708	XP_020603163.1	Mcavernosa06469-RA
OG0008709	XP_020608468.1	Mcavernosa11215-RA
OG0008710	XP_020621996.1	Mcavernosa22254-RA
OG0008711	XP_020623780.1	Mcavernosa09412-RA
OG0008712	XP_020623781.1	Mcavernosa09411-RA
OG0008713	XP_020611766.1	Mcavernosa31426-RA
OG0008715	XP_020620970.1, XP_020620971.1	Mcavernosa27262-RA
OG0008716	XP_020620969.1	Mcavernosa15970-RA
OG0008717	XP_020627265.1	Mcavernosa30969-RA
OG0008718	XP_020616627.1	Mcavernosa15931-RA, Mcavernosa23594-RA, Mcavernosa30324-RA
OG0008719	XP_020608805.1, XP_020610795.1	Mcavernosa13978-RA
OG0008720	XP_020610759.1	Mcavernosa13969-RA, Mcavernosa13967-RA
OG0008722	XP_020625416.1, XP_020601907.1	Mcavernosa13953-RA
OG0008723	XP_020610765.1, XP_020610766.1	Mcavernosa13964-RA
OG0008724	XP_020610760.1	Mcavernosa13965-RA
OG0008725	XP_020606471.1	Mcavernosa15243-RA
OG0008726	XP_020616597.1, XP_020616595.1	Mcavernosa23598-RA
OG0008727	XP_020616362.1	Mcavernosa14379-RA
OG0008728	XP_020616368.1	Mcavernosa14392-RA
OG0008729	XP_020625386.1	Mcavernosa28844-RA
OG0008730	XP_020625394.1	Mcavernosa28850-RA
OG0008731	XP_020601610.1, XP_020601611.1	Mcavernosa33975-RA
OG0008732	XP_020601614.1	Mcavernosa33974-RA
OG0008733	XP_020601625.1	Mcavernosa11858-RA
OG0008734	XP_020601619.1	Mcavernosa11854-RA
OG0008735	XP_020623219.1	Mcavernosa13705-RA
OG0008736	XP_020623123.1	Mcavernosa13702-RA
OG0008737	XP_020632200.1	Mcavernosa24869-RA, Mcavernosa24868-RA
OG0008738	XP_020620463.1	Mcavernosa16848-RA
OG0008739	XP_020620465.1	Mcavernosa16849-RA
OG0008740	XP_020610325.1	Mcavernosa10003-RA
OG0008741	XP_020620563.1	Mcavernosa20958-RA
OG0008742	XP_020630749.1, XP_020630747.1	Mcavernosa32183-RA
OG0008743	XP_020622887.1	Mcavernosa02660-RA
OG0008744	XP_020630753.1	Mcavernosa32188-RA
OG0008745	XP_020630755.1	Mcavernosa32195-RA
OG0008746	XP_020627497.1, XP_020627496.1	Mcavernosa02347-RA
OG0008747	XP_020627498.1	Mcavernosa02346-RA
OG0008748	XP_020627592.1, XP_020627593.1	Mcavernosa02342-RA
OG0008749	XP_020615534.1, XP_020615410.1	Mcavernosa11008-RA
OG0008750	XP_020608560.1	Mcavernosa22765-RA, Mcavernosa27609-RA
OG0008751	XP_020608485.1, XP_020608484.1	Mcavernosa22768-RA
OG0008752	XP_020608498.1	Mcavernosa22770-RA
OG0008753	XP_020624170.1	Mcavernosa08986-RA
OG0008754	XP_020624126.1	Mcavernosa08983-RA
OG0008755	XP_020611115.1, XP_020611116.1	Mcavernosa17061-RA
OG0008756	XP_020611046.1	Mcavernosa33310-RA, Mcavernosa07661-RA
